"id","text","prediction","annotation","metadata","score","batch_id"
22,"HNE , pilla pandu gadini kukka denguderu kadara Fb lone 😂 😂 Ekada unna pilla mabu gallaki telidu le edho rendu elevation post eskondi pilla mabu gaduu . Pakka Tollywood ante Uchha poskune Varu 🍉 😂","Negative","Negative","","",2.0
23,"Orey thyview nuvvu anti mega fan kada","Neutral","Neutral","","",2.0
24,"Ee kadgalo andharu patralay movie review","Neutral","Neutral","","",2.0
25,"@Capt_Capt_ @AdvoShabana kal thursday raaat sy chilla shuru ho jaye ga","Neutral","Neutral","","",2.0
26,"Power Play movie review ivaledu bro","Neutral","Neutral","","",2.0
27,"@actor_nithiin @SreshthMovies @tamannaahspeaks @NabhaNatesh @MerlapakaG @mahathi_sagar Mee trailer chaala bagndi .సుధీర్ ఒక హీరో . హాస్యనటుడు కాదు . కానీ పరిస్థితులు అలా మారాయి . POWERFUL STAR సుధీర్ యొక్క పెద్ద అభిమాని .. dayachesi edina avakasham maa hero ki ippichandi sir .253","Positive","Positive","","",2.0
28,"@souji400 Ramgopal verma , Poori Jagannath , trivikram lanti cheta vedhavalu ladies gurinchi cheep ga movies tesi youth ni chedagottaru ala behave cheste heros ani mind set create chesaru andukey public ala alavatu paddaru","Negative","Negative","","",2.0
29,"First of all u need to know how to review a mass film . A mass film is meant to be like that ( what u say as 'over stunts ' ) . Now shut the fck up bastard and go watch the film again and review the review yourself","Negative","Negative","","",2.0
30,"@vsk_kiran1991 Cheap liquor kanna Cheap gadhuu 😠","Negative","Negative","","",3.0
31,"Single IH ledu Zoo gadiki , Bull Bull gadiki 0 shares Thapitee Eam Lev , mabuu gaduu Fake Records 🐸 ☁ ️ 🐖 eam Chaysukoni Aguruthara Meru malli Offline lo Eam ana Vundhs Antee Pichaa Lite 😂 Pora ChowKukka","Neutral","Negative","","",3.0
32,"Bhayya when Sushant is on screen I had a smile in my face bcuz my brain is thinking Sushant is still alive . I ca n't digest he is no more . He is alive In movies . Love u Sushant 😭","Positive","Positive","","",3.0
33,"E movie Amazon lo undha","Neutral","Neutral","","",3.0
34,"@Thalaivadaa @Willsmi71394928 @babayi_abbayi @PK_THALA_ADHERE @DQ_Insane @RAJU_11111 @RusthumHere Vijay antony ey kukkani kottinattu kottadu mabbuu gadni 😂 😂 ah mabbuu gaadi tweet malli chaduv ra lk , highest aithe kojja ani oppukavali anta Last sankrathi AA highest mabbu gaddu kojja ani prove ainatte gaa lk","Negative","Negative","","",3.0
35,"Annagana gaa oo athidhi review bro please","Neutral","Neutral","","",3.0
36,"My fev friends 🥰 love ❤ 1 . @NTRBhakthudu9 Bava Manchodu True lover Bestie #GonduBebbuliNTRHits50M @tarak9999","Positive","Positive","","",3.0
37,"This is dabbaa review andi midii Movie was very good","Positive","Positive","","",3.0
38,"Bro kick hit in is movie life","Neutral","Neutral","","",3.0
39,"@Suriya_Prabhass Vamoo adi okka b grade actress ayipoyindi bollywood lo eppudu manchiga Telugu lo MB RC tho chesi notable actress ga peru techkoni bolly lo chillar actress ayindi No chances inka ameki","Negative","Negative","","",3.0
40,"There There There See See See Ah Sanka nakand Andaru Ban chesi then-Garu le 😹 #PUBGBANNED #PUBGMErangel #PUBGMOBILE #PUBG #Tencent","Neutral","Neutral","","",4.0
41,"Reyy jack mama .... Correct ga 6 ki return ichaav kada ra ... Nee ayya . #HBDMaheshBabu","Neutral","Neutral","","",4.0
42,"@TarunChinnu13 @WarangalCd Inka PK fan ga marchipolenu videos icchav bro 😍 😍 1.1 Nenokkadine climax scene 😍 2.Birthday roju video 😍 Trolls lo 4 years back video chesavv .. neeku Gurthunda ? ? April 1 na vidudhala lo Peddha chekka cut cheyyali opening ki .. Adhi 150KM CAKE cutting video ani pettav 😂 😂 🙏","Positive","Positive","","",4.0
43,"@HemantGarapati Stage la paiki edu erripuk aadu erripuk ani evadu anadu Denguthaaru ani Nuvvu muskoni undu , AAth gadu elantodo andhariki telusu . Julayi cinema audio launch cheppindi Khaleja cinema gurinche Okappudu antha worst matladi ipdu oka cinema ki All the best chepthe manchdu ayipodu","Negative","Negative","","",4.0
44,"@suriya_i @MsKajalAggarwal Taaanchu mawa 🤗 ❤ Ma mawa gaadu chaala manchod 😛 🤩 @MsKajalAggarwal #KajalAggarwal #KajalBdayBashIn50D","Positive","Positive","","",4.0
45,"Finally my college is in cinema as court .","Neutral","Neutral","","",4.0
46,"Full laag movie . Boring . Routine rotte kadha . .","Negative","Negative","","",4.0
47,"orey bujjiga . enduku ra anta tondara review iyyalani . siggundali . spoilers petti . memu edo nuvvu movies gurinchi intersting ga cheptunnav ani anukunte . chal unsubscribe from today . po ra rey . memu kakapothey inkokaru istaru review . d * gai antava . vallu adedo shirt tinnarani . meeru kuda adhey shirt tintava bruh . shirt ki shit ki spelling kuda raadu anukunev bro . shirt ante onti paina veskunedii . shit antey ontlo nundi vellipoyedi . .","Negative","Negative","","",4.0
48,"@DevendraReddyG E ra Gurram Gadidha bratukendira needi . Personal ga tittalanukunte verified twitter handle enduku ra epraasi na kodaka .. #ycp kenduku ra cheddam peru chetha naaaa ... Poi savu .. Verey handle lo morugu ... dony degrade party","Negative","Negative","","",4.0
49,"Non spoiler ani cheppi story antha cheppi dobbav kada ra ayya","Neutral","Negative","","",4.0
