	sentence	sentiment
233	Pakkaaa message pola...Thalaivaaa we are waiting	positive
234	Tamil nadimarke oru puthiya velluvilliakkumooo manju chechiudea puthiya entry	positive
235	Nammaku tevaiyanada namma taan adichi vaanganum; Padipa mattum nammakitta irundu edutuka mudiyathu	positive
236	Ennayya..namma makkal selvan padam trailerkke oru full thalapathy movie paatha alavukk appadiye silirpp kottuth..	positive
237	Last dailog புரிஞ்சா inga like podunga	positive
238	Super star is super star v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v.v v.v nice trailer I really love it	negative
239	1st unga thalaivara age ku thaguntha mathiri natikka sollunga appuram vijay ajith pathi peasalam	negative
240	Naanum thalavar rasigan than enakku Akshaya Kumar performance than pudichi irukku ....thalavara dummy ah aakitanaga...ama vai illa ya	negative
241	Vera Level #SK Bro... Keep Going Huge..	positive
242	Oruthar mela viswasatha katrathuku innorthara yen asinga paduthuringa	positive
243	last dialague semma.... rasikanuku advice pannitaru thala super thala	positive
244	Super pa... Thalapadhy rasigar saarba vaalthukal	positive
245	Thala Ena Thala ketta mass ah irukiyae	positive
246	Thambi naanga 19 hourslaya 11M neenga yaaru da komali	neutral
247	Appo Kabalieee... Na Nerupuda  Eppo robot na chitti 2.O version	positive
248	Waiting 1m likes and 15m views	positive
249	Vayasu analum unga style um alagum innum ungala vitu pogala....old time rajni ah pakaramariye iruku...	positive
250	Ada aamaigala 1m like kooda varlaya aamai Ajith	neutral
251	Realy trailer marana massa iruku iam waiting petta	negative
252	You're line line line ithu mari Neriya  Neriya Neriya Neriya padatthula irukum pola iam waiting	positive
253	Simion sir enga irrukinga.  Sekiram vanga.	positive
254	Wow 10  millóns views	positive
255	Back to Back Super blockbuster Movies......... First   2.0   then Petta Rajnikanth is just Amaaaaaaazing	positive
256	எத்தன HATTERS dislike pannunalum asuran movie kku award confirm by:PURE DHANUSH ANNA FAN	positive
257	Dislike pannravan ratham kakkai saavan 🤣	positive
258	தல i am waiting for nerkoonda paarvai	positive
259	Vijay -vera vera vera vetakaran taan da venumm Ajith- nerya nerya nerya nerya ....nerya	positive
260	Thala pathi thappaa cmnt panura kuchikari movanlaam odirunga	negative
261	Dislike panavan oruthanuku poruthuruka maatan poogada ****************	positive
262	Dei kadisiya style dance ah parunga da... Ayyo sema... Thalaiva cuteness charisma fight sequel banged comeback...	positive
263	Shaktiman madri next comedy punda aga poren sakadai kelavan	negative
264	Thalaya screen LA parka Yarellam Marana waiting comment pannunga thala rathangale ‍‍‍‍‍‍‍	positive
265	Vada Chennai - jaygiromo illayo motha sanda seiyanum Asuran - namaku theva yanatha nambha tha adichi vanganum	positive
266	Entha trailer best nu Pakalam  Like : Asuran   Cmnt: Kaapan	positive
267	Comments parka vandha padika vandha nanba nanbigal like pannitu pooga	positive
268	Thala thaan eppavume ennudaya role maadal	positive
269	@0.38 it's SuperStar Rajini not Rajni... Spelling mistake !!	positive
270	Remake of pink movie ah... Apdiye eduthurukeenga... Oru dialogue kooda maarama... But fight scene extra va...	positive
271	Neraya neraya neraya atha yarkanave nerachi poitha iruku inum yathuku kaekura iva mutta  punda	negative
272	Eduthu vainga Da adutha Oscar ah ASURAN Ku.	positive
273	I miss you ishwarya rai madam	neutral
274	Mass  Dhanush  manju  vetri	positive
275	Thalaivaaaaaaa.......  Ungaluku vayase aaakathu. Nee mattum thaa Thlaiva mass. Massuke Boss.	positive
276	THALA 6O ku aavathu atleast pre announcement pannunga	positive
277	Aptilam nadakkathu nadakka kudathu fire on eyes thala	positive
278	Amam eppa puthu trailer poduvingo. .. 1960 mgr kala thu padama. .. Re release panna poran gala. ..	negative
279	Oruthar mela viswasam kaatradhukaga aduthavangala edhuku asinga paduthuringa...sema thala....love from thalapathy fanzzzzz	positive
280	Kaithi ye evlo mass ah iruku na  Thalapathy 64?	positive
281	adra sakka... thalaivaa ... marana mass.. adi thool.... Petta Pongal...... Petta Parrakk.....	neutral
282	Maranam Mass Uh maranam Tough Tharanum Athukku Avan Thaaan poranthu Varanum	positive
283	1:55 for some #THALA & #THALAPATHY fans	positive
284	Please make thalapathy 64 like kaithi visuals	positive
285	Nothing to say ....just goosebumps #thalarasigai	positive
286	Mass mass nu soli pavam fight ill lathe padathu la kuda fight varawaychitaga....	positive
287	1:38 to 1:50 yenna swag pa thala. Thala pola varuma ? FDFS from Karnataka.	positive
288	Enada tamil cinema eduka sonna Hollywood cinema eduthu vachirkinga	positive
289	Saavaratha irunthalum sanda pottu saaganum, bayanthu kaalla vizhunthu saaga kudathu. #Tharam	positive
290	Sethu anna Voice  Thalaivar Entry   Kolla Gaandu la irukan Epo varum oh nu	positive
291	Marana mass thalaiva   Ungalukku innu vayasu agale	positive
292	Intha padam kantippa win pannum but rajinikaga illa Shankar kaga  avaroda talent kaga ...	positive
293	Oru oru scenum goosebumps ahh iruku petta parak🤘🤘like podunga trailer pathu goosebumps anuvanga	positive
294	#NerKondaPaarvai superb Thala pesura yella dialogues kum avar kan simtave ella vera level acting	positive
295	petta movie atta flop old man sotta boy	negative
296	Ena Da bomma Padam eduthu vachirukeenga	neutral
297	Semma vera level . Like hits	positive
298	pink movie in hindi .final dialouge superrrr.	positive
299	chinna pulla thanamaala irukku graphics! XD XD	positive
300	Rajini sir telugu fans hit a like here ? Rajinified	positive
301	O my God superstar Rajinikanth, navajuddin siddiki, vijay setupati , what else needed	positive
302	Marvel paruppu thanni+DC uppu+tamil masala + kick kadugu + krissh vengayam thakkali = hero sambar	positive
303	Bayama irukku I except more but I feel sad :(	positive
304	TAMIL MOVIE 2.O  KING IN INDIA   WONDER  SUPER STAR AN  SANKAR'S MASS MOVIE	positive
305	1st day 1st show poravanga like potuttu ponga	positive
306	Sprb shradha srinath done a good job	positive
307	Ennoda phone ah yaaralum control panna mudiyadhu... Akshay Kumar ah tension aayiduvan idhu hang aguradha paathu...	neutral
308	Rajini kanth. Fans hit like here	positive
309	Kola gaadula iruka... Thalaivaaaaaaaa waiting layea veri aaguthey	negative
310	Get... Ready..sk. Force.. Part 2. Part 3. Varavaipomaaaaaa...	negative
311	Omg .. use head phones Enna bgm da saami ..	positive
312	Petta  uthikum visvasam hit agum	neutral
313	ENPT release agalanu kavala illa aurathanamana Asuran varuthu adhu pothum...	positive
314	Those VFX Nalla illa daaaw guys.. Idhu trailer dhaan maa Main picture is coming  #2.0 #Marana_Mass	neutral
315	vera level thala  u r rock	positive
316	Lokesh kanagaraj movie naalae.... English Rap....Song vandurum	negative
317	What a trailer ya vera level la iruku...yow karthi subburaj pinnida ya awesome awesome	positive
318	Thalada all India  Thala kottai	positive
319	Indha Kalatholo Siva Karthikeyan Nadike Mudiyadhu	neutral
320	Evano indha video ku dislike button amuka vandhurundha odiru 🤣 kolaa kaandu la irukan kollama vida matan	negative
321	Mujhe kuch samajh sirf VFX tu achh hai hai Lekin utna dam nahi jitna zero ka trailer me hai	neutral
322	Title card bgm vara level nu soluravuga like pl	positive
323	Rijini sir nadichirukaru Rompa nalaiku piragu.. sema treatuuuuu	positive
324	Thala nkp kaga wait panravan like panunga	neutral
325	Climax la judge kathiyeh heart attack shethuduvaaraah	positive
326	Mokka palaya film sayal niraya irukku....	negative
327	Mokka ah irukkum nu confirn pannittenga	positive
328	12hours 5m view s  600k like s NKP	positive
329	Thala   U1  Bgm	positive
330	Surya thambi karthi poii karthi oda anna tha surya airuchuu	positive
331	Now you are lying lying lying. Thala mass	positive
332	Namaku thevayanathu nammatha adichi vaanganum...  masssssssss	positive
333	Deepawali kala katta pothu, bigil, kaithi, sanga thamizhan	positive
334	Common thala fans 1m likes varanum	positive
335	Yeppo million like aagum nu pakka wait pannittu irruka .	positive
336	That Bike is a Modified Duke 200	positive
337	Last dialogue semma...🥰🥰 Thala Tucker doi...	positive
338	Abhay deol	neutral
339	thala veriyans. Maddum oru like poddu vidunga bro.	positive
340	Starting Looks like king liar Malayalam movie	neutral
341	Enna Da views ivlo kammiya iruku romba nerama	positive
342	Dai mokka vetri Mara unaku yethrathamanna kathaiyee eduka theriyatha!?	neutral
343	Ethir paartha alavu ila .. sadness	positive
344	Sema... Thala merattal.... Movie eppo paaka poromnu romba aarvama irukku... Thala...	positive
345	Ena ipa Trending la varuthu thalaivar eh	positive
346	Karthi annaaaa vera level acting	negative
347	National award ah , askar ah ?/... Dhanush fanz like	positive
348	Padam peru #Sangathamizhan Producer yaru na #BharathiREDDY :/  What an irony!	negative
349	Anirudh bgmmmmmm Bang bang bang  Petttaaaa paaaraaaaaak	positive
350	Inga Rajini ya pathi mattum comment pannunga nan Vijay sethupathika papen aniruthuka Papen apdina adichu underwearoda oda vituven....Thalaivar forever	positive
351	Trailer la Vidya Balan missing.... Why?	positive
352	Sangar.... Sangar ra etha movie direct pannala	neutral
353	I think sivakarthickku hero getup set aagala, trailer is good,but movie average pogumnu ninaikiravanga like Pannuga	positive
354	Ajith sir 🤩   T H A L A	positive
355	Arjun sir looking very smart and handsome....	positive
356	Attention THALA fans ........INDHA padam BLOCK BUSTER AAguradhukkuu neega dhaan THEATer Ku poooi THALAi Ku  PERIYA flex(katout) VAIKANUMMM	positive
357	20 times ku mela pathavanga like podunga	negative
358	I am big for illaya super star DHANUSH	positive
359	i phone vs android nu ninaikiren	positive
360	Trailer la nallathan da irukku padam mokkaiya illama iruntha sari	positive
361	Innoru  Vakkil  Rangaraj pandey dhana avaru	positive
362	Thala seekirom theatre ku Va Thala ennala wait panna mudiyala	positive
363	Marana mass... Ungaluku vayasu aanalum andha style apadiye iruku thalaivaaaaaaa	positive
364	Kamala kalasa en thlaivan dance mass ah	positive
365	sakthimaan sollidu thovaikira kallulanthu kila vilunthu adipattavanka like pannuga ( 5 thaiyal enaku )	negative
366	Thala Da i love u thala	positive
367	super super super  super star.	positive
368	Mmmm 1000 times this video see	positive
369	Thalaivarea kaalioda aatatha neenga kaatitinga   Ini thooku thurai oda alaparaiya naalaiku 1.30 ku Paapinga	neutral
370	Nanga late ahh vandhalum latest ah varuvom	positive
371	Sema anna Lv u karthi anna	neutral
372	Waiting for Judgement day nerkonda paarvai Trailer Marana Mass THALAAAAAAAA.....‍	positive
373	Ippo Yana pana poram? Sweet sapada poram love you thalavaaaaaaaaaa	positive
374	Sethupathi padam pakkum pothu irutha mass scenes niyabagam varudhu	positive
375	Paaaaaaa more thaaan Hollywood range... Excited to have watch over it	neutral
376	Like icon ah terika vidalama thala blood's	positive
377	Yow songs epo ya viduvinga BGM verra level ....... #Thala_forever	positive
378	Thaka fans ah iru dha like poduga	positive
379	Thala un rasiganu solla santhsama ,karvama irukku	positive
380	Pandey and Thala argument  Super thala nadakakuduthu	positive
381	1.5M views in 60min அம்மோவ்	positive
382	2020 Fulla un thiruvizha tha dhaunsh Anna	positive
383	Mana thalvair epaime gethuda sema inda pongal	positive
384	Indias pride ... Shankar Sir & Team...	positive
385	Gud Morning Thala Bloods.Enna Nanba Readya.Viswasam Trailerku Senja Sambavatha Vida Sirapaa Siyanum.	positive
386	Unga nalla manasuku epayum vettri than THALA ungaluku. phinix  bird thala nenga vizhamattinga	negative
387	1 million likes kondu varanum keep share THALA bloods...	positive
388	Oru channel la sona marie pana matingala daaa dei	positive
389	YuvaN       BGM	positive
390	1M like varathu pola nalaki kuda sethu	negative
391	Nee Nadigan Enpadhukaga un Rasigar illa Nalla Manithan...	positive
392	Oruthar mela viswasam katradhukaga inoruthara aen asingapaduthringa    Sema Thala.........	positive
393	intha maari movie tamil cinema la vanthathu ila 1000 movie vanthurukum da	positive
394	Dei yennada marvel maari kondu varinga	neutral
395	Not bad........... Any way karthik flop agama.. Iruka...... வாழ்த்துக்கள்	neutral
396	waiting Thalapathy 64🤟 # Lokesh kanagaraj	positive
397	Trending no1 thala YOUTUBE KING THALA	positive
398	Vera levelu Thalaivar    Always i love Thalaivar	positive
399	Ajith acting matha movie la ellam nalla irunthathu.but Nerkonda parvai trailer romba Mokkaya Tha iruku...	neutral
400	Romba naalaiku apuram Oru 'RAJINI' padam.	positive
