	Unnamed: 0	sentence	sentiment	transliteration	translation
18	18	Enakku iru mugan trailer gnabagam than varuthu	positive	ஏநக்கு இரு முகந ட்ரைலேர் க்நாபகம தந வருது	Another two-faced trailer is coming
19	19	ARE YOU EXPECTING HAPPY DEEPAVALI FORCE DIALOGUE IN 2.0 MOVIE	positive	அர் யூ எக்ஸ்பெக்டிங் ஹேப்பீ தீபாவளி பார்ஸ் டியாலோகு இன் 20 மோவி	Are You Expecting Happy Diwali Parse Dialogue In 20 Movie
20	20	Sakthimaan fans like Sivakarthikeyen fans comment	neutral	ஸக்தீமாந பன்ஸ் லைக் ஸீவாகார்தீகேயேந பன்ஸ் காமஎண்ட்	Sakthimaana Puns Like Sivakarthikeyena Puns Commend
21	21	rajini and akshay fans hit like	neutral	ராஜீநீ அண்ட் அக்ஷய பன்ஸ் ஹித லைக்	Rajini and Akshay bans hita like
22	22	1 hour 1 million likes	positive	1 ஹோர் 1 மில்லியன் லீக்ஸ்	1 hor 1 million leagues
23	23	Raww vana padama iruku  all the best	positive	ராவ வநா படாமா இருகு  ஆல் தே பெஸ்ட்	Rava Vana Padama Irugu All Te Best
24	24	En da.. trailer layae ivlo slow motion nah.. padathula paathi duration slow motion layae mudichirpeenga polayae	negative	ஏந டா ட்ரைலேர் லய இவ்லோ ஸ்லோ மோட்டின் நா பதாதுலா பாதீ துரேஷன் ஸ்லோ மோட்டின் லய முதிசீர்பீம்கா போலாயா	Ena da trailer laya ivlo slow modin na patatula pathi duration slow modin laya muthiseerphimka polaya
25	25	Thalaiva ungala screen pakkum pothey ippadiiii erukinga na  Nerla partha yappidiiii erupinga Oru murai tharisanam kedaikumaaaa	positive	தலைவா உங்காலா ஸ்க்ரீன் பக்கம் போதே இப்பதீ எருகிங்கா நா  நெர்லா பார்தா யாப்பீடீ எருபிங்கா ஓரு முரை தரிஸநம் கேதைகுமா	thaliva ungala screen page bothe ipadee eruginga na nerla partha yappeedee erupinga oru murai darshanam kethaikuma
26	26	Rajini ah vida akshay mass ah irukane	negative	ராஜீநீ அ விதா அக்ஷய மாஸ் அ இருகான்	Rajini a Vida Akshay mas a Irukhan
27	27	Thala koda compare panna yarukum thakuthi kidaiyathu mind it	positive	தாலா கோடா கம்பாரே பன்னா யாருகம் டாகுதீ கிதையாது மிண்ட் இட	Thala koda kambare panna yarugam daguthee githaiyadu mint ita
28	28	Marana mass marana style marna gethu mass trailer rajinified	positive	மராநா மாஸ் மராநா ஸ்டைல் மர்னா கேதும் மாஸ் ட்ரைலேர் ராஜீநீஃபீத்	Marana Mass Marana Style Marna Ketum Mass Trailer RajiniFeet
29	29	Diwali annante aniyan ullaltha  Step back bigil	neutral	திவாலி அன்னன்ட் அனியந உல்லால்தா  ஸ்டெப் பக் பிகில்	Diwali Anant Aniyana Ullalta Step Buck Bigil
30	30	Dialogue pundaiye puriyala. Otha theatre la nacham sound seri pannungada.	negative	டியாலோகு புண்டாயே புரியாலா ஓதா தேட்ரே லா நாசம் ஸ்வுண்ட் சேரி பன்னுங்காதா	Dialogu bundaye buriyala oda thetre la nasam swind chari pannungada
31	31	Poda mokka moonjI unna pathale siriputhan varuthu super herovaam adutha mugamoodiii	negative	போடா மோக்கா மூன்ஜீ உநநா பதாலே சிரீபுதந வருது ஸுபர் ஹீரோவாம் அதுதா முகாமூதீ	Boda mocha moonjee unana padale sreeputhana varuthu super heroam atutha makanoothee
32	32	dei kelthu kuthi ajith ivanya yaru nadika sona🤢🤢🤢	negative	தீ கேல்தும் குதீ அஜீத இவாந்ய யாரு நாதிகா ஸோனா	Thee Keelthum Kuthi Ajitha Ivanya Yaru Nathika Zona
33	33	Yaaru ivanaa... INDHA Kosu Asoorana dei ennada Unga Rasana....	negative	யாரு இவாநா இந்தா கோஸு அஸூரண தீ என்னாடா உங்கா ராஸன்	Yaru ivaana inda gosu asurana thee ennata unga rasan
34	34	Namma kitte kaadu iruntha,eduthukuvanga Namma kitte roopa iruntha, pudukiku vaanga Padippu mattum namma kitte irundhu eduthukave mudiyathu  Superb lines	positive	நாம்மா கிட்டே காடு இருந்தஏதுதுகுவம்கா நாம்மா கிட்டே ரூபா இருந்தா புதுகிகு வாம்கா பதிப்பு மட்டும் நாம்மா கிட்டே இருந்து எடுதுகாவே முதியாது  ஸுபெர்ப லைன்ஸ்	Namma kitte kadu uttuguwamka namma kitte rupa tutta pudukiku vamka version only namma kitte edutugave mudiyatu superba lines
35	35	Ethukkuda ivlo actors hypo....thalaivar padamna avar matumtha  irukanum...	positive	ஏதுக்குதா இவ்லோ ஆக்டர்ஸ் ஹைபோதலைவர பதாம்னா அவர மாதும்தா  இருகானம்	Ethukuda ivlo actors hypothalaivara badamna avara matumta irukanam
36	36	Thlaiavaa... Thalaivaa... Thaliava... Thalaivaa.... Thalaivaa...	positive	த்லிஅவா தலைவா தாலியாவா தலைவா தலைவா	Tliava Thaliava Thaliava Thaliava Thaliava
37	37	epdi like pottavan Eallarum seathupogada	neutral	இப்டி லைக் பாட்டாவந ஈல்லார்ம் சீதுபோகதா	Ibti like patawana ealarm seetuphogata
38	38	சுயமாக சிந்திக்க தெரிஞ்சவன் தான் சூப்பர் ஹீரோ' - 100% true in the age information abundance and mass distractions.	positive	சயமக சநதகக தரஞசவன தன சபபர ஹர  100 ட்ரூ இன் தே ஏஜ் இன்பார்மேட்டின் அபுண்டன்ஸ் அண்ட் மாஸ் டிஸ்ட்ராக்டின்ஸ்	Abundance and Mass Destructins of Sayamaka Sanathakaka Daranjasavana Thana Sabapara Hara 100 True in the Age Informant
39	39	Supper dhanush Anna mass waiting asuran	positive	ஸுப்பர் தநுஷ அந்நா மாஸ் வைடிங் அஸுரன்	Super Dhanush Anna is a mass-witting monster
40	40	Vera lvl thalaiva u r great	positive	வேரா ல்வ்ல் தலைவா உ ர் க்ரேட்	Vera Lvl Thaliva U r Great
41	41	Mobile main mera phek dunga iPhone x BARNA aisa problem hoga	negative	மொபைல் மேன் மேரா பேக துங்கா இபோன் க்ஸ் பர்னா அயைஸா ப்ரோப்ளம் ஹோகா	Mobile man mera bega tunga iphone x parna ayisa problem hoga
42	42	Ellam avan sayal movie mathiriya irukku🤔	neutral	எல்ளம் அவன் சயால் மோவி மதீரியா இருக்கு	Ellam Avan Sayal Movi Materia
43	43	Boss you looking so handsome ND young kekaa	positive	பாஸ் யூ லூகிங் சோ ஹாண்ட்சோம் ந்த் யௌங் கேகா	Pass you looking so handsome and young Gaga
44	44	Pattaya kelapitey Siva!!!  Awesome!!!	neutral	பட்டாயா கேலாபிதே ஸீவா  அவேசோம்	Pattaya Kelabithe Ziva Awesome
45	45	Dahaaaaaaa chitii come back I am waiting get ready to 2.0	neutral	தஹா சீதீ கோம் பக் இ அம் வைடிங் கெட் ரெடி டூ 20	Daha Seethi Kom Pak I Am Widing Get Ready To 20
46	46	Boni kapoor sir ini entha update illama ethum release panathinga sir,  intha chinna pasanga tholla thanga mudiyala	neutral	போநீ கபூர் சிர் இநீ ஏநதா உப்தேதி இலாமா ஏதும ரெலியாஸ் பநாதீங்கா சிர்  இந்தா சின்ன பஸம்கா தோலா தம்கா முதியாலா	Boney kapoor sir ini enatha updeti ilama etuma relias panathinga sir inda chinna basamka thola damka mudiyala
47	47	Looks thrilling, thala get up super as lawyer , dai pandey neeya da	positive	லூக்ஸ் த்ரிலிங் தாலா கெட் உப ஸுபர் அஸ லவ்யர்  டை பாண்டே நியா டா	Looks Thrilling Tala Get Upa Super Asa Lover Di Pande Nia Da
48	48	Neenga enna vena kathukonga aana Hollywood padathukku dubbing mattum kathukathinga	negative	நீம்கா என்னா வேநா காதுகோங்கா ஆநா ஹோலிவுட் பதாதுக்கு துப்பிங் மட்டும் காதுகாதீங்கா	Neemka enna vena kathukonga ana hollywood padatu dubbing only katukathinga
49	49	Ena da nadakuthu inga.. Epaaa sathiyamaa edir pakatha trailer.. TOTALLY UNIMAGINABLE TRAILER. THALIVAR	positive	எனா டா நாதாகுது இங்கா ஏபா ஸதீயாமா எதீர பகதா ட்ரைலேர் தோடால்லீ யூனிமாகினாபிள் ட்ரைலேர் தாலிவார்	Ena Da Nathakutu Inga Epa Satyyama Ethira Bhagada Trailer Thodallee Unimaginable Trailer Thaliwar
50	50	1:43  Thala da    By thalapathy fan	positive	143  தாலா டா    பி தலாபதி பன்	143 Thala Da P Thalapati Pan
51	51	Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga	positive	சன் பிக்சர் பெஸ்ட் ஓர் விஜய த்வ பெஸ்ட் ஸ்ப் பெஸ்ட் நா டிஸ்லிக் பன்னுகா விஜய த்வ பெஸ்ட் நா லைக் பன்னுகா	Sun Picture Best Or Vijaya Dwa Best Sp Best Na Dislike Pannuka Vijaya Dwa Best Na Like Pannuka
52	52	Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super	positive	லாஸ்ட் டியாலோகே தாலா பன்ஸ் உங்காலுக்கூதா இஅம் விஜய பன் ட்ரைலேர் ஸுபர்	Last Dialogue Thala Pans Ungalukkutha Iam Vijay Pan Trailer Super
53	53	Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....	neutral	ஹோலிவுட் ரங்க் லா இருகு பதம் கம்திபா ப்ளாக்புஸ்டர் ஹித செம்மா ஸ்டோரி	Hollywood Runk La Irugu Patham Kamthiba Blockbuster Hitha Semma Story
54	54	But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	positive	புட் ஓர் ஓரு வருதம என்னாநா சுந்தஏ ரெலியாஸ் பந்நீருக்கலம் யெஸ்டர்ட்ய ஆவாதும் அந்நோன்சிமெண்ட் பந்நீருக்கலம்	Put oru varutama ennana sundae relias pannirukalam yesterdya aavadum annoncement pannirakalam
55	55	Semmma style... rajini sir is back...	positive	செம்மா ஸ்டைல் ராஜீநீ சிர் இஸ் பக்	Semma Style Rajnee Sir Is Pg
56	56	My Dear Thala ahhhhhhhhhhhhhh semma GETHU	positive	மீ டிர் தாலா அஹ்ஹ செம்மா கேதும்	Mee tir taala aha semma ketum
57	57	Idduke ₹500 va tarlam... kolla mass	neutral	ஈட்டுக் 500 வா தரலாம் கொல்லா மாஸ்	Lead 500 va Taralam kolla mas
58	58	Movie savadi vera level poo..thalaivar thalaivar thaa..mass	positive	மோவி ஸவாதீ வேரா லேவேல பூதலைவர தலைவர தாமாஸ்	Movi Sawadi Vera Levela Boothalivara President Thomas
59	59	Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.	positive	ஸுபர் தலைவா செம்மா மாஸ் இந்தா மோவி ப்ளாக்புஸ்டர் தான் ப்தஸ் போரவங்கா லைக் பன்னுங்கா	Super Taliva Semma Mas Inda Movie Blockbuster Than Bdus Boravanka Like Pannunga
60	60	92k views 132k likes  Fraud	neutral	92கே வியஸ் 132கே லீக்ஸ்  ப்ரோத்	92K Vius 132K Leaks Broth
61	61	3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????	positive	3 மினுதே ட்ரேலோர் விதா தில இருக்காபோலிவுட் லா பன்ரம்கதமிலா முதியுமா	3 Minute Traylor Vida Thila Sittabollywood La Panramkatamila Mutyuma
62	62	Dai ranjit nee idha parthu film eduka kathuko	positive	டை ரணஜித் நீ இதா பார்தும் பிலிம் ஏதுகா காதுகோ	Die Ranajith nee ita parthum film etuka khatuko
63	63	Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura	positive	ட்ரைலேர் பாஸ்ட் அ போது அநா பேக்கிரவுண்ட் லா மேன் பம் இல்லயே பைட் கு வராதீந்கா டா உந்மாயா தா ஸ்லூரா	Trailer past a tha ana background la man bum illaye pait ku varathinka da unmaya tha slura
64	64	Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum	positive	ஸுபெர்ப  விவேக் மேர்வீந பீந்நீதிங்கா போங்கா உங்காலுகாகவே பதம் பகானம்	Superb Vivek Merveena Been Nithinga Bonga Ungalugake Padam Paganam
65	65	Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....	positive	விஸ்வஸம் லீக்ஸ் ஆ பாது பயீந்தும் வைந்தாவீந்கா யார யார லைக் போதாதும்	Viswasam Leeks Ah Badu Bayindum Vaindaveenka Yara Yara Lik Podhatum
66	66	1:36 *thaa enna look-u daa saami  That bgm lit	positive	136 தா என்னா லூகு தா ஸாமி  தத் பம் லித்	136 tha enna luku tha sami dat pum Lith
67	67	Guyzz 1m likes vara varaikum vitraadheenga...	positive	குய்ஸ்ஸ் 1ம் லீக்ஸ் வாரா வரீகம் வித்ரஆதீம்கா	Quizzes 1st Leagues Wara Vareekam Vithraadhimka
68	68	Velraj sir thalaivana masss a kamchirukaru vera level u	positive	வேலராஜ சிர் தலைவாநா மாஸ் ஆ காம்சிருகரு வேரா லேவேல உ	Velaraja sir talaiwana mas aa kamsirugaru vera levela u
69	69	U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum	neutral	உ1 காகா பாகுராதா இல்லா ஸ்க் காகா வெருகுராதாநே தேரிலா புட் மித்ரந  உ1 காகா கம்திபா பாகனம்	U1 kaka bhakuratha illa sk kaka verukuradane terila put mitrana u1 kaka kamthiba bhaganam
70	70	Iam vijay fan kerala and iam waiting super star's petta	positive	இஅம் விஜய பன் கேரளா அண்ட் இஅம் வைடிங் ஸுபர் ஸ்டார்ஸ் பெட்டா	I&#39;m Vijay Bun Kerala and I&#39;m Widing Super Stars Peta
71	71	Oh my god .. it's rajini for you	neutral	ஓஹ மீ கோத்  இட ராஜீநீ பார் யூ	Oh Me Goth Ida Rajeenee Baar U
72	72	0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu	positive	052 தாலா லூகா அப்தியா வேசுர்கரும் பா  வித்வுட் ஆஓடியோ லா பாதா தலைகம் இவ்ருக்கம் வித்யாஸம் தேரியாது	052 TALA LUKA ABDIA VESURGARUM PA WITHWOOD AODIO LA PAADA TALIGAM IVRUKAM VIDYASAM THERIADU
73	73	Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!	positive	டை யாரு டா அந்தா 36கே அபாதி என்னா டா ஏங்கா தாலா மேலா உங்கலுகு கான்டுவ்	Tie yaru da anda 36k abadi enna da enga tala mela condu to you
74	74	Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's	neutral	லவ உ தலைவா அவம்கலா ஆராநீ அனஸ்தஷியாஸ அலபாமா அண்ட் அனஸ்தஷியாஸ	Love U Taliva Avamkala Arani Anastasiasa Alabama and Anastasiasa
75	75	Iam sk fan aanaa trailer semma	positive	இஅம் ஸ்க் பன் ஆனா ட்ரைலேர் செம்மா	I&#39;m sk bun ana trailer semma
76	76	Wow padam tharu mara iruka poguthu  This pongal petta diwali	positive	வோ பதம் தாரு மாரா இருகா போகுது  தீஸ் போம்கல் பெட்டா திவாலி	Wo padam daru mara iruka pogudu these pomkal peta diwali
77	77	Sema mass marana mass tha i love rajini	positive	சேமா மாஸ் மராநா மாஸ் தா இ லவ ராஜீநீ	Seema mas marana mas tha e lava rajeenee
78	78	800k likes varavareku nanu thungamatte nenaikiravage like podunge	positive	800கே லீக்ஸ் வரவரேகு நநு தங்காமாட்டே நேநைகிரவாஜே லைக் போதுங்கே	800K Leagues Varavaregu Nanu Tangamaate NenaiGravaje Lik Patange
79	79	Damn..im a proud. Chiyaan vikram fan..	positive	தம்நிம் ஆ ப்ரூத் சியாந விக்ரம் பன்	Tamnim aa bruth siyana vikram pan
80	80	Enna panna porom sweet sapda porom....	positive	என்னா பன்னா போரோம் ஸ்வீட் ஸப்தா போரோம்	Enna panna porom sweet sapta porom
81	81	entha kannada naiyai ennum tamilnattil erunthu anupalaiya?	negative	ஏநதா கன்னடா நையாய் என்னம் தமிழ்நாட்டில் எருநது அநுபலஐயா	Enatha Kannada Naiyai Ennam Erunadu Anubalaiya in Tamil Nadu
82	82	Vaa thalaiva via diwali mass ur movie bikil  out	positive	வா தலைவா வியா திவாலி மாஸ் ஊர் மோவி பீகீல  அவுட்	Wa thaliva via diwali mas ur movi beekeela out
83	83	Veralevel performer Dhanush sir	positive	வேரலேவேல பெர்பார்மெர் தநுஷ சிர்	Veravelela Performer Danusha Sir
84	84	No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	positive	நோ மேயான் நோ ஏநதா டியாலோகு தலயா தாவாரா யாரு சோன்ன நல்லைருகும்நூ தாராயாள	No meyan no enatha dialogu talaya dawara yaru sonna nallairukum nu tarayala
85	85	Super akshay sir i love u sir	positive	ஸுபர் அக்ஷய சிர் இ லவ உ சிர்	Super akshaya sir e love u sir
86	86	Looks like he will SET SCREEN ON FIRE	positive	லூக்ஸ் லைக் ஹே வில் செட் ஸ்க்ரீன் ஆன் பிர்	Looks Like He Will Set Screen On Bir
87	87	It's pink with ajith Kumar ka chutiyapa	positive	இட பிங்க் வித் அஜீத குமார கா சுதியபா	Ida Pink with Ajeetha Kumara Ka Suthiyappa
88	88	Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.	positive	ர்ம்பா சம்தோஸமா இருக்கு தாலா இப்டி சஸ்பென்ஸ் மோவி லா நாதிசாதுந்த் ர்ல்ஸ் காகா வைடிங்	Rmba Samdosama Rhu Taala Ipti Suspense Movie La Nadhisadhunt Rls Kaka Widing
89	89	Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum	positive	வில்லாஈநா மாஸ் ஆ கட்டால்லாயியா  சோ சாத்  விலாயின் மாஸ் ஆ இருந்தா தா மோவி மாஸ் ஆ இருக்கம்	Villaina mas aa khatallaiya so saat vilain mas aa vittata tha movi mas aa itam
90	90	Trailer vera level athana Da....aamai kunjugala	positive	ட்ரைலேர் வேரா லேவேல அதாநா தாமாய குந்ஜுகலா	Trailer Vera Levela Adhana Damaya Kunjukala
91	91	Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.	neutral	யெண்டா பதாதோடா ஓட்டுமததா காதையாயும் இதுதந நு போது காத்ர மரியா டா ட்ரைலேர் பன்னுவிங்கா	Yenda patathoda otumathada kathaiyayum ittana nu when katra maria da trilare pannuwinga
92	92	Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram	positive	நம்பகீதா கடு இருந்தா வம்கீகுவநுங்கா கஸு இருந்தா புதுஇம்கீகுவநுங்கா பதீபா மட்டும் புதுங்கவி முதியாது சிடாம்பரம	Namgeetha kadu wamkeekwanunga kasu but puduimkeekwanunga patiba only pudungavi mudiatu chidambarama
93	93	1:20 to 2:29 marana massssss	positive	120 டூ 229 மராநா மாஸ்	120 do 229 Marana Mass
94	94	No.1 trending....yellarum idha thana ketutu irundhinga	positive	நோ1 ட்ரெண்டீநக்யெல்லார்ம் இதா தநா கேதுதும் இருந்திங்கா	No1 trendinakyellarm ita thana kedutum vutinga
95	95	Dhanush fans hit like here.....	positive	தநுஷ பன்ஸ் ஹித லைக் ஹேரா	Danusha Buns Hita Like Hera
96	96	E,,adicha copy da,,,ithu ellam avan seyal movie	negative	இதிசா கபி தைதும் எல்ளம் அவன் ஸேயல மோவி	Itisa Kabi Thaitum Ellam Awan Seyala Movi
97	97	Like so much Thala from AP PawanKalyan Anna fans	positive	லைக் சோ முச தாலா கார்ம் அப பவம்கல்யாண அந்நா பன்ஸ்	Like so musa tala carm apa pavamkalyana anna buns
98	98	Yellaam super, but nawazudin voice mattum nalla illa.	neutral	எல்லாம் ஸுபர் புட் நவாஸுதின் வோஈஸ் மட்டும் நல்லா இல்லா	Everything is superb but only Nawazuddin&#39;s voice is good or not
99	99	Wow. I love you Thalaivaaaaaa.	positive	வோ இ லவ யூ தலைவா	Wo e love you leader
100	100	Thala..... Kola waiting eppo yaa release panna poringa	positive	தாலா கோலா வைடிங் இப்போ யா ரெலியாஸ் பன்னா போரிங்கா	Thala kola whiting ippo ya relias panna poringa
101	101	Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...	positive	வாலும தேய்வம அஜீத குமார மநீதா கதாவுல அஜீத குமார ஸோக்கா தநகம் அஜீத குமார ஏந உயீராஈ காரம அஜீத குமார உலாகா உடாமந அஜீத குமார	Valuma Deivama Ajitha Kumara Manyita Kataula Ajitha Kumara Sokka Thanagam Ajitha Kumara Ena Uiraei Karama Ajitha Kumara Ulaga Udamana Ajitha Kumara
102	102	Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?	neutral	ஏதுக்கு எதெல்ளம் வ்வ்ஸராஜீநீ முருகந மாரி காமெடி மோவி பாதுத்து ஏநதா மோவி பக்கா முடியமா	Ethuku Ethellam Vvsarajeenee Murugaana Mari Comedy Movie Baduthu Enetha Movie Paka Puja
103	103	Comment box pakka vantha like podunga	positive	காமஎண்ட் பாக்ஸ் பக்கா வம்தா லைக் போதுங்கா	Comend Box Baka Vamda Like Pathanga
104	104	Thalaivar varuvaru sure aa adippaaru	neutral	தலைவர வருவாரும் சுரே ஆ ஆதிப்பாரு	Sure ah Aadiparu will be the leader
105	105	Who else are here after Sarkar movie?	neutral	வோ எல்ச் அர் ஹேரா ஆஃப்டர் சர்கர் மோவி	Wo Lch Ar Hera After Sarkar Movie
106	106	Dialogues ah illama mass scenes la pesirukalaam	positive	டியாலோகெஸ் அ இலாமா மாஸ் ச்க்கென்ஸ் லா பெஸிருகலாம்	Dialogues a llama mas chkens la besi
107	107	Pongal namalukku super collection ma !	positive	போம்கல் நமலுக்கு ஸுபர் கோலெக்ஷன் மா 	Bomkal Namaluk Super Collection Maa
108	108	Ennada pittalatama irruku views 51k but likes 99k va	neutral	என்னாடா பித்தலதாமா இர்ருகு வியஸ் 51கே புட் லீக்ஸ் 99கே வா	Ennada pitthalatama irrugu vius 51k put leeks 99k va
109	109	Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!	positive	தலைவா இப்பா என்னா பன்னா போரோம் ஸ்வீட் ஸப்தா போரோம்	Thaliva ibpa enna panna porom sweet sabta porom
110	110	Yuvan bgm kola mass thalaiva marana waiting for #valimai	positive	யுவந பம் கோலா மாஸ் தலைவா மராநா வைடிங் பார் வாலீமாஈ	Yuvana bum kola mas thaliva marana whiting bar waleemaee
111	111	Thalaivar ku ennum vaisae agala Sema	positive	தலைவர கு என்னம் வைஸஏ அகலா சேமா	President Ku Ennam Vyasa Akala Sema
112	112	Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi	positive	கைதீ ப்ளாக்புஸ்டர் மோவி  பிகில் அபி தக ஹித பீ ந்ஹீ ஹுவீ	Kaithee Blockbuster Movie Bigil Abi Tak Hita Bi Nhee Huwee
113	113	Ippa enna panna poram sweet sapada porom ,,,super awesome	positive	இப்பா என்னா பன்னா போராம் ஸ்வீட் ஸபாடா போரோம் ஸுபர் அவேசோம்	Ibba enna panna poram sweet zapada porom super awesome
114	114	Thala  U1  Yuvan Shankar Raja  Mass....	positive	தாலா  உ1  யுவந ஷங்கர ராஜா  மாஸ்	Tala U1 Yuvana Shankara Raja Mas
115	115	Shakthiman fans kill the like button	positive	ஷக்தீமன் பன்ஸ் கில் தே லைக் புட்டன்	Shaktiman buns kill te like putan
116	116	1:53 Ant-Man ah pottu Hope pottu polakra adhe smack	neutral	153 அந்தமந அ போட்டு ஹோப் போட்டு போலாக்ர அதே ஸ்மக்	153 Andaman A put Hope put the same smug
