	Unnamed: 0	Unnamed: 0.1	sentence	sentiment	transliteration	translation
51	51	51	Sun picture best or Vijay TV best sp best na dislike pannuga Vijay TV best na like pannuga	positive	சன் பிக்சர் பெஸ்ட் ஓர் விஜய த்வ பெஸ்ட் ஸ்ப் பெஸ்ட் நா டிஸ்லிக் பன்னுகா விஜய த்வ பெஸ்ட் நா லைக் பன்னுகா	Sun Picture Best Or Vijaya Tw Best Sp Best Na Dislik Pannuka Vijaya Tw Best Na Like Pannuka
52	52	52	Last dialoge thala fans ungalukkuta Iam Vijay fan trailer super	positive	லாஸ்ட் டியாலோகே தாலா பன்ஸ் உங்காலுக்கூதா இஅம் விஜய பன் ட்ரைலேர் ஸுபர்	Lost Dialogue Tala Buns Like you Iam Vijaya Bun Trailer Super
53	53	53	Hollywood range la iruku padam Kandipa blockbuster hit! Semma story....	neutral	ஹோலிவுட் ரங்க் லா இருகு பதம் கம்திபா ப்ளாக்புஸ்டர் ஹித செம்மா ஸ்டோரி	Hollywood Rank La sit down Term Kamtiba Blockbuster Hita Semma Story
54	54	54	But ore oru varutham ennana Sunday release pannirukkalam yesterday aavathu announcement pannirukkalam	positive	புட் ஓர் ஓரு வருதம என்னாநா சுந்தஏ ரெலியாஸ் பந்நீருக்கலம் யெஸ்டர்ட்ய ஆவாதும் அந்நோன்சிமெண்ட் பந்நீருக்கலம்	Butt Or A sorry what Sunda A Relias Pannirukalam Yesterday will be Announcement Pannirukalam
55	55	55	Semmma style... rajini sir is back...	positive	செம்மா ஸ்டைல் ராஜீநீ சிர் இஸ் பக்	Semma Style Resign sir Is Pg
56	56	56	My Dear Thala ahhhhhhhhhhhhhh semma GETHU	positive	மீ டிர் தாலா அஹ்ஹ செம்மா கேதும்	I am Dr Tala Ahhh Semma Ketum
57	57	57	Idduke ₹500 va tarlam... kolla mass	neutral	ஈட்டுக் 500 வா தரலாம் கொல்லா மாஸ்	earn 500 Come can give Kolla Mass
58	58	58	Movie savadi vera level poo..thalaivar thalaivar thaa..mass	positive	மோவி ஸவாதீ வேரா லேவேல பூதலைவர தலைவர தாமாஸ்	Movie Sawadi Vera Not at all Boothalavara Chairman Thomas
59	59	59	Super thalaiva .Semma mass. Intha movie blockbuster thaan. FDFS poravanga like pannunga.	positive	ஸுபர் தலைவா செம்மா மாஸ் இந்தா மோவி ப்ளாக்புஸ்டர் தான் ப்தஸ் போரவங்கா லைக் பன்னுங்கா	Super leader Semma Mass Inda Movie Blockbuster That&#39;s it Pts Poravanka Like Pannunga
60	60	60	92k views 132k likes  Fraud	neutral	92கே வியஸ் 132கே லீக்ஸ்  ப்ரோத்	92k Vius 132K Leaks Proth
61	61	61	3 minute trailor vida thil irukkaa....bollywood la panranga....tamila mudiyuma???????	positive	3 மினுதே ட்ரேலோர் விதா தில இருக்காபோலிவுட் லா பன்ரம்கதமிலா முதியுமா	3 Minute Traylor Vida Thila It&#39;s Bollywood La Panramgatamil old man
62	62	62	Dai ranjit nee idha parthu film eduka kathuko	positive	டை ரணஜித் நீ இதா பார்தும் பிலிம் ஏதுகா காதுகோ	Tie Ranajit you Here it is will see Film And so on Go ahead
63	63	63	Trailer fast ah podu Ana Background la main bgm illaye Fyt Ku Varadhinga Da Unmaiya tha slura	positive	ட்ரைலேர் பாஸ்ட் அ போது அநா பேக்கிரவுண்ட் லா மேன் பம் இல்லயே பைட் கு வராதீந்கா டா உந்மாயா தா ஸ்லூரா	Trailer Bast A when Ana Background La Man Bum Not at all Byte Ku Don&#39;t come Dr Unmaya Tha Slura
64	64	64	Superb  Vivek Mervin pinnitinga ponga... Ungalukagave padam pakanum	positive	ஸுபெர்ப  விவேக் மேர்வீந பீந்நீதிங்கா போங்கா உங்காலுகாகவே பதம் பகானம்	Superb Vivek Western Bhinnithinga Bonga Just for you Term Paganam
65	65	65	Viswasam likes aa pathu payainthu vainthavainga yar yar like pothathu.....	positive	விஸ்வஸம் லீக்ஸ் ஆ பாது பயீந்தும் வைந்தாவீந்கா யார யார லைக் போதாதும்	Vishwasam Leaks Cow Badu will learn Don&#39;t wait who who Like Not enough
66	66	66	1:36 *thaa enna look-u daa saami  That bgm lit	positive	136 தா என்னா லூகு தா ஸாமி  தத் பம் லித்	136 Tha what Luke Tha Sami Dat Bum Lith
67	67	67	Guyzz 1m likes vara varaikum vitraadheenga...	positive	குய்ஸ்ஸ் 1ம் லீக்ஸ் வாரா வரீகம் வித்ரஆதீம்கா	Quizzes 1st Leaks Vara tax Vitraadhimka
68	68	68	Velraj sir thalaivana masss a kamchirukaru vera level u	positive	வேலராஜ சிர் தலைவாநா மாஸ் ஆ காம்சிருகரு வேரா லேவேல உ	Velaraja sir Tailwana Mass Cow Kamsirugaru Vera Not at all U
69	69	69	U1 kaga paakuradha illa sk kaaga verukuradhane therila but mithran + u1 kaaga kandipa paakanum	neutral	உ1 காகா பாகுராதா இல்லா ஸ்க் காகா வெருகுராதாநே தேரிலா புட் மித்ரந  உ1 காகா கம்திபா பாகனம்	U1 Gaga Bagurata No Sc Gaga Veruguradane Terila Butt Mitrana U1 Gaga Kamtiba Paganam
70	70	70	Iam vijay fan kerala and iam waiting super star's petta	positive	இஅம் விஜய பன் கேரளா அண்ட் இஅம் வைடிங் ஸுபர் ஸ்டார்ஸ் பெட்டா	Iam Vijaya Bun Kerala And Iam Whiting Super Stars Peta
71	71	71	Oh my god .. it's rajini for you	neutral	ஓஹ மீ கோத்  இட ராஜீநீ பார் யூ	oh I am Goth Place Resign see U
72	72	72	0:52 thala looka apdiyae vechurkaru pa.  Without audio la paata thalaikum ivrukkum vityasam teriyathu	positive	052 தாலா லூகா அப்தியா வேசுர்கரும் பா  வித்வுட் ஆஓடியோ லா பாதா தலைகம் இவ்ருக்கம் வித்யாஸம் தேரியாது	052 Tala Luca Obadiah Vesurakarum Pa Withwood Aaodio La Path Title This way Vidyasam I don&#39;t know
73	73	73	Dai yaaru da antha 36k? apadi enna da enga thala mela ungaluku Gaandu?!	positive	டை யாரு டா அந்தா 36கே அபாதி என்னா டா ஏங்கா தாலா மேலா உங்கலுகு கான்டுவ்	Tie who Dr Anda 36 K Abadi what Dr Anga Tala Above to you Cantuve
74	74	74	Love u thalaivaaaaaaa avangala aarani Anastasia's Alabama and Anastasia's	neutral	லவ உ தலைவா அவம்கலா ஆராநீ அனஸ்தஷியாஸ அலபாமா அண்ட் அனஸ்தஷியாஸ	Available U leader Shame on you Are you asking? Anastasia Alabama And Anastasia
75	75	75	Iam sk fan aanaa trailer semma	positive	இஅம் ஸ்க் பன் ஆனா ட்ரைலேர் செம்மா	Iam Sc Bun but Trailer Semma
76	76	76	Wow padam tharu mara iruka poguthu  This pongal petta diwali	positive	வோ பதம் தாரு மாரா இருகா போகுது  தீஸ் போம்கல் பெட்டா திவாலி	Woah Term Give it Mara stay is going Thesis Pomkal Peta Diwali
77	77	77	Sema mass marana mass tha i love rajini	positive	சேமா மாஸ் மராநா மாஸ் தா இ லவ ராஜீநீ	Sema Mass Marana Mass Tha e Available Resign
78	78	78	800k likes varavareku nanu thungamatte nenaikiravage like podunge	positive	800கே லீக்ஸ் வரவரேகு நநு தங்காமாட்டே நேநைகிரவாஜே லைக் போதுங்கே	800K Leaks Coming soon Nanu Don&#39;t stay Nenaikravaje Like enough
79	79	79	Damn..im a proud. Chiyaan vikram fan..	positive	தம்நிம் ஆ ப்ரூத் சியாந விக்ரம் பன்	Tamnim Cow Proth Chiana Vikram Bun
80	80	80	Enna panna porom sweet sapda porom....	positive	என்னா பன்னா போரோம் ஸ்வீட் ஸப்தா போரோம்	what Panna let&#39;s fight Sweet Sabta let&#39;s fight
81	81	81	entha kannada naiyai ennum tamilnattil erunthu anupalaiya?	negative	ஏநதா கன்னடா நையாய் என்னம் தமிழ்நாட்டில் எருநது அநுபலஐயா	something Kannada Naiyai what In Tamil Nadu Erundu&#39;s Anubala
82	82	82	Vaa thalaiva via diwali mass ur movie bikil  out	positive	வா தலைவா வியா திவாலி மாஸ் ஊர் மோவி பீகீல  அவுட்	Come leader Via Diwali Mass town Movie Bekeela out
83	83	83	Veralevel performer Dhanush sir	positive	வேரலேவேல பெர்பார்மெர் தநுஷ சிர்	Not at all Performer Dhanusha sir
84	84	84	No means no entha dialogue thalaya thavara yaru sonna nallairukumnu tharayala	positive	நோ மேயான் நோ ஏநதா டியாலோகு தலயா தாவாரா யாரு சோன்ன நல்லைருகும்நூ தாராயாள	No Mayan No something Dialogue Talaya A fruit who Sonna You are fine Tarayala
85	85	85	Super akshay sir i love u sir	positive	ஸுபர் அக்ஷய சிர் இ லவ உ சிர்	Super Akshay sir e Available U sir
86	86	86	Looks like he will SET SCREEN ON FIRE	positive	லூக்ஸ் லைக் ஹே வில் செட் ஸ்க்ரீன் ஆன் பிர்	Lukes Like Hey Bow Set Screen Ann Bir
87	87	87	It's pink with ajith Kumar ka chutiyapa	positive	இட பிங்க் வித் அஜீத குமார கா சுதியபா	Place Pink With Ajita Kumara Ga Sudiyapa
88	88	88	Rmba sandhosama irukku. Thala ipdi suspense movie la nadichadhu.and rlz kaga waiting.	positive	ர்ம்பா சம்தோஸமா இருக்கு தாலா இப்டி சஸ்பென்ஸ் மோவி லா நாதிசாதுந்த் ர்ல்ஸ் காகா வைடிங்	Rumba Samdosama having Tala Ift Suspense Movie La Nadhisadhunt Rls Gaga Whiting
89	89	89	Villaina mass aa kattallayea.  So sad.  Villain mass aa iruntha thaa movie mass aa irukkum	positive	வில்லாஈநா மாஸ் ஆ கட்டால்லாயியா  சோ சாத்  விலாயின் மாஸ் ஆ இருந்தா தா மோவி மாஸ் ஆ இருக்கம்	Villa Eina Mass Cow Katallaiya So Sat Vilain Mass Cow If there is Tha Movie Mass Cow will be
90	90	90	Trailer vera level athana Da....aamai kunjugala	positive	ட்ரைலேர் வேரா லேவேல அதாநா தாமாய குந்ஜுகலா	Trailer Vera Not at all Adhana Tamaya Kunjugala
91	91	91	Yenda, padathoda ottumoththa kadhaiyayum idhudhan nu potu kaatra mariya da trailer pannuveenga.	neutral	யெண்டா பதாதோடா ஓட்டுமததா காதையாயும் இதுதந நு போது காத்ர மரியா டா ட்ரைலேர் பன்னுவிங்கா	Yenda Patathoda Is it driving? Become an ear This one Nu when Katra Maria Dr Trailer Pannuwinga
92	92	92	Nambakita kadu iruntha vangikuvanunga kasu iruntha puduingikuvanunga padipa Mattum pudungavey mudiyathu chidambaram	positive	நம்பகீதா கடு இருந்தா வம்கீகுவநுங்கா கஸு இருந்தா புதுஇம்கீகுவநுங்கா பதீபா மட்டும் புதுங்கவி முதியாது சிடாம்பரம	Namgeeta hard If there is Wamkeequanunga Kasu If there is New Imkeequanunga Patiba Only Pudungavi never get old Chidambaram
93	93	93	1:20 to 2:29 marana massssss	positive	120 டூ 229 மராநா மாஸ்	120 Two 229 Marana Mass
94	94	94	No.1 trending....yellarum idha thana ketutu irundhinga	positive	நோ1 ட்ரெண்டீநக்யெல்லார்ம் இதா தநா கேதுதும் இருந்திங்கா	No. 1 Trendinagyellarm Here it is Thana hear Was it?
95	95	95	Dhanush fans hit like here.....	positive	தநுஷ பன்ஸ் ஹித லைக் ஹேரா	Dhanusha Buns Hita Like Hera
96	96	96	E,,adicha copy da,,,ithu ellam avan seyal movie	negative	இதிசா கபி தைதும் எல்ளம் அவன் ஸேயல மோவி	Itisa Kapi sewing limit He Seyala Movie
97	97	97	Like so much Thala from AP PawanKalyan Anna fans	positive	லைக் சோ முச தாலா கார்ம் அப பவம்கல்யாண அந்நா பன்ஸ்	Like So Mus Tala Garm Aba Pavamkalyana That day Buns
98	98	98	Yellaam super, but nawazudin voice mattum nalla illa.	neutral	எல்லாம் ஸுபர் புட் நவாஸுதின் வோஈஸ் மட்டும் நல்லா இல்லா	Everything Super Butt Nawazuddin Voices Only good No
99	99	99	Wow. I love you Thalaivaaaaaa.	positive	வோ இ லவ யூ தலைவா	Woah e Available U leader
100	100	100	Thala..... Kola waiting eppo yaa release panna poringa	positive	தாலா கோலா வைடிங் இப்போ யா ரெலியாஸ் பன்னா போரிங்கா	Tala Cola Whiting now Ya Relias Panna Poringa
101	101	101	Vaalum theivam ajith Kumar Manitha kadavul ajith Kumar Sokka thangam ajith Kumar En uyirai kaakum ajith Kumar Ulaga uthaman ajith Kumar...	positive	வாலும தேய்வம அஜீத குமார மநீதா கதாவுல அஜீத குமார ஸோக்கா தநகம் அஜீத குமார ஏந உயீராஈ காரம அஜீத குமார உலாகா உடாமந அஜீத குமார	Vol Deivama Ajita Kumara Manita Don&#39;t talk Ajita Kumara Sokka Gold Ajita Kumara why Uirai Spicy Ajita Kumara Traveler Utamana Ajita Kumara
102	102	102	Ethukku ethellam..! Vvs,rajini murugan mari comedy movie pathuttu...! Entha movie pakka mudiuma.....?	neutral	ஏதுக்கு எதெல்ளம் வ்வ்ஸராஜீநீ முருகந மாரி காமெடி மோவி பாதுத்து ஏநதா மோவி பக்கா முடியமா	for what Ethellam Oh my god Murukana Marie Comedy Movie touch something Movie Baka can
103	103	103	Comment box pakka vantha like podunga	positive	காமஎண்ட் பாக்ஸ் பக்கா வம்தா லைக் போதுங்கா	Comand Box Baka Vamta Like not enough
104	104	104	Thalaivar varuvaru sure aa adippaaru	neutral	தலைவர வருவாரும் சுரே ஆ ஆதிப்பாரு	Chairman Will come Sure Cow Adiparu
105	105	105	Who else are here after Sarkar movie?	neutral	வோ எல்ச் அர் ஹேரா ஆஃப்டர் சர்கர் மோவி	Woah Lch Ar Hera After Sugar Movie
106	106	106	Dialogues ah illama mass scenes la pesirukalaam	positive	டியாலோகெஸ் அ இலாமா மாஸ் ச்க்கென்ஸ் லா பெஸிருகலாம்	Dialogues A Illama Mass Chickens La Maybe Bess
107	107	107	Pongal namalukku super collection ma !	positive	போம்கல் நமலுக்கு ஸுபர் கோலெக்ஷன் மா 	Pomkal For us Super Collection Ma
108	108	108	Ennada pittalatama irruku views 51k but likes 99k va	neutral	என்னாடா பித்தலதாமா இர்ருகு வியஸ் 51கே புட் லீக்ஸ் 99கே வா	Don&#39;t you? Brass Irruku Vius 51K Butt Leaks 99K Come
109	109	109	Thalaivaaaa..! ippa Enna panna porom?? Sweet sapda porom...!	positive	தலைவா இப்பா என்னா பன்னா போரோம் ஸ்வீட் ஸப்தா போரோம்	leader Iba what Panna let&#39;s fight Sweet Sabta let&#39;s fight
110	110	110	Yuvan bgm kola mass thalaiva marana waiting for #valimai	positive	யுவந பம் கோலா மாஸ் தலைவா மராநா வைடிங் பார் வாலீமாஈ	Youth Bum Cola Mass leader Marana Whiting see Walimae
111	111	111	Thalaivar ku ennum vaisae agala Sema	positive	தலைவர கு என்னம் வைஸஏ அகலா சேமா	Chairman Ku what Visa A Akala Sema
112	112	112	Kaithi blockbuster movie  Bigil Abhi tak hit bhi nhi huvi	positive	கைதீ ப்ளாக்புஸ்டர் மோவி  பிகில் அபி தக ஹித பீ ந்ஹீ ஹுவீ	arrested Blockbuster Movie Bigil Abhi Dag Hita B Nhee Huawei
