	uid	sentence	lang	sentiment
30	31	I ’ve never heard of that : No tener conocimiento sobre algo P1 : I think I ’ll buy me a loco burrito . P2 : Loco burrito ? I ’ve never heard of that	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN', 'NA', 'NA', 'NA', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN']	positive
31	32	Why tf is everyone on my tl talking about they need to take a shit #nopostacabron #pinchescagones	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'ES']	negative
32	33	Onta el guy que Iva Llevar a taco Moore tomorrow 😦 Nomas me ilusionastes 😂😁👌	['NA', 'ES', 'NA', 'ES', 'NA', 'ES', 'EN', 'ES', 'NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA']	neutral
33	34	Out of my pocket : Lo pago de mi bolsillo . I ’m paying for my daughter ’s college straight out of my pocket , no loans or anything .	['EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA']	neutral
34	35	And ima be in here for 4 hours #nopostacabron #fml	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'ES', 'NA']	neutral
35	36	At the drop of a dime : Instantáneamente sin vacilación . Do n’t test me , I ’ll leave you at the drop of a dime .	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'NA']	negative
36	37	lmao I cant stop laughing << la zombie , uhh girl I see you getting u shine on .. ok nvm bye !	['EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'NA']	positive
37	38	y observa q las otras silabas tienen un ə , en general las silabas sin acento tienen un ə o un ɪ community kəˈmyu nɪ ti	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'EN', 'NA', 'NA', 'NA']	positive
38	39	lmao you have to move the cordon a certain way or else no pasa el corriente 😂 ?	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'NA']	neutral
39	40	no pos wow 😂😋👌	['NA', 'ES', 'EN', 'NA']	positive
40	41	shop online seca : b	['EN', 'EN', 'ES', 'NA', 'NA']	positive
41	42	"Cuando ellos dicen "" late "" no dicen leɪt ni leɪ dicen una t "" muda "" , les voy a avisar cuando lo tenga actualizado en la web :)"	['ES', 'ES', 'ES', 'NA', 'EN', 'NA', 'ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA']	positive
42	43	Rodeo tonight ... aver k tal me ba esta ves !! ! __-	['NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA']	positive
43	44	"mess up significa muchas cosas , allí significa algo así como hmmm "" joderle la vida "" sorry , sorry , no encuentro otra palabra :)"	['EN', 'EN', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'NA', 'EN', 'NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA']	negative
44	45	My nieghbors are like the loudest family in the whole apt #callate	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES']	positive
45	46	: la gente jura que uno no se cansa y estará siempre aguantando todo , mmmm not .	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'EN', 'NA']	negative
46	47	: #70sbaby #styling & #vestido #BCBG #mascada # #RalphLauren #zapatos … http://t.co/I04jbqVt52	['NA', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'NA', 'NA', 'ES', 'NA', 'NA']	neutral
47	48	Acabo de terminar ! El rap del Tag del Youtuber ! Que fucking cansancio !	['ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'EN', 'ES', 'EN', 'NA', 'ES', 'EN', 'ES', 'NA']	negative
48	49	Que fkn stress	['ES', 'EN', 'EN']	negative
49	50	En casa me paso en sport bra porque este calor de mierda no lo aguanta nadieeeee	['ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative
50	51	: This Scene Will Make You Sad No Matter What	['NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN', 'EN']	negative
51	52	: Yo prefiero quemar todo porque aja después quien recoge eso ? El bichhhhhh	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN']	negative
52	53	gringos be eating so early .. .	['ES', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA']	negative
53	54	El video de zomber Girl va a tardar mas de 5 horas en renderizarse por estar grabado en 5K .. . y ahora que asemoh ?. .. no matamo ?	['ES', 'ES', 'ES', 'NA', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'NA']	negative
54	55	: Siempre quieren buscarle justificación a las cosas mas crueles , mera missed me with that bullshit , educate y después habla .	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA']	negative
55	56	": Mi mejor amiga se pasa dando rt a tweets que dicen "" Yo siempre contesto rápido "" ; al jevo será porque a mi hasta me ignora"	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'EN', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative
56	57	": Anna Karina and Jean-Paul Belmondo in "" Pierrot le fou "" ( 1965 ) ."	['NA', 'NA', 'NA', 'EN', 'NA', 'NA', 'EN', 'NA', 'NA', 'ES', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']	neutral
57	58	: melo sin poder subir el vlog	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN']	negative
58	59	La gente en la uni que van un día normal medios disfrazados , en Halloween se botan	['ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'ES', 'ES']	negative
59	60	cuidado en Rexville plaza aparente asesinato en el Parking por popeyes .	['ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'NA', 'NA']	negative
60	61	: 🚨 🚨 🚨 🚨 Si lo han visto Por Favor , comuniquense DM o Llamen , Gracias 🚨 🚨 🚨 🚨	['NA', 'NA', 'NA', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'ES', 'ES', 'NA', 'ES', 'NA', 'NA', 'NA', 'NA']	negative
61	62	": "" Senior year es un paseo "" QUIEN CARAJO DIJO SEMEJANTE MENTIRA"	['NA', 'NA', 'EN', 'EN', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES']	negative
62	63	: Ideas de promposal de mis amigas = public humiliation	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN']	negative
63	64	SANTA ROSA I SEC LOS LOPEZ SIN LUZ !! !	['ES', 'NA', 'EN', 'EN', 'ES', 'NA', 'ES', 'ES', 'NA', 'NA']	negative
64	65	He tenido problemas con los planos de Gopro que tengo para el vlog . Tengo que recuperarlos y va a tardar , así que EL VLOG SE SUBE MAÑANA .	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA']	negative
65	66	"48 min . y nada pasa , me paro a ir al baño y me reciben con "" te perdiste el golazo "" .. . ok ya no me voy a mover"	['NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative
66	67	: Cuando le dedicas un tierno y creativo Promposal .. . Pero te dicen que NO #habichuelastiernas #prom ?	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA']	negative
67	68	Retweet si encuentras los errores .. . http://t.co/CVcTzqN4Ar	['EN', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA']	negative
68	69	: Necesito un hogar ! Please !! ! Soy macho ! 🐶🐶🐶🐶🚨🚨🚨🚨🚨	['NA', 'ES', 'ES', 'ES', 'NA', 'EN', 'NA', 'NA', 'ES', 'ES', 'NA', 'NA']	negative
69	70	el update de sc esta raro cc .. .	['ES', 'EN', 'ES', 'NA', 'ES', 'ES', 'NA', 'NA', 'NA']	negative
70	71	Se trata de perspectiva , Porqué sabia a carajo . #anibalelchef #manvsfood http://t.co/zl6s6ylMxA	['ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'NA']	negative
71	72	: Estoy a 8 días de acabar mi año senior . ¿ Tu crees que a estas alturas me importa un carajo ?	['NA', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA']	negative
72	73	you have no idea 😔	['EN', 'EN', 'ES', 'ES', 'NA']	negative
73	74	El cabron ni se movio .. obviamente van a meter goal	['ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'EN']	negative
74	75	Que struggle es no saber que comer	['ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES']	negative
75	76	Ajjaja , no dirás lo mismo cuando un dia de estos te carrilee a global ofensive ! XD	['ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'NA']	negative
76	77	: Hoy #participantes #sty …	['NA', 'ES', 'ES', 'EN', 'NA']	negative
77	78	Cuando te invitan a un party , no vas y ves un snap del party con la canción sk8ter boy de Avril Lavigne sabes q tomaste la decisión correcta	['ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'EN', 'ES', 'ES', 'ES', 'NA', 'EN', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative
78	79	Te vas con #Elvacilondelagatita Vacilon Night out a #Bongos #Hollywood Cena Bebida y mucho vacilon .… http://t.co/SeTjVgMDG1	['ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN', 'EN', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA']	negative
79	80	Yo no sé si es el stress del MCAT lo que me tiene no soportando a NADIE o qué , pero cualquier bobería que me dicen o leo me está MALO CC .	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA']	negative
80	81	: Yo trato de estar de buen humor pero la gente siempre la fucking caga	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES']	negative
81	82	: Empezar mañana mi ultimo semestre en montessori es como el peor y mejor feeling del mundo 😳😐	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'NA']	negative
82	83	Estuve todo el día muriendome de sueño . 3AM y yo estoy active . #MiDiosEstaPasao	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES']	negative
83	84	": "" Aprende a tweet "" jodia puta huelebicha"	['NA', 'NA', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'ES']	negative
84	85	daaamn . Justas , practicas , presentaciones , exámenes . Shit 's real man	['EN', 'NA', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN']	negative
85	86	: Puesta pal nap con la patita echá	['NA', 'ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES']	negative
86	87	Cabrones en Dennys había un tipo un pin de Trump en la camisa y el carro lleno de stickers apoyando a Trump . What the freaking hell ?	['ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA']	negative
87	88	": RAP GAMER !! Me ayudais con un Rt "" brocolis "" y ? xD"	['NA', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'NA', 'ES', 'NA', 'NA']	negative
88	89	: no sé cómo pretendo envolverme si le picheo a to ' el mundo 🤔	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'NA']	negative
89	90	Hacer brownies y que se lo acaben sin que lo llegues a probar . Ok	['ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES']	negative
90	91	Cual es la necesidad de darle a cuanta mierda comentan en tu tweets ?? 🙄🤔	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'NA']	negative
91	92	: Cuando tienes el playlist en shuffle .	['NA', 'ES', 'ES', 'ES', 'EN', 'ES', 'EN', 'NA']	negative
92	93	Aveces la gente se olvida que tras la pantalla y el Youtuber hay una persona , y muchos comentarios pueden ofender , hora de hacer un rap .	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA']	negative
93	94	: Tú quieres saber si Myers hace to lo que canta	['NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'ES', 'ES', 'ES']	negative
94	95	okay okay . Pues yo estoy freaking out . Paro de estudiar porque es tarde y estoy cansada y siento que estoy perdiendo el tiempo 😩	['EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA']	negative
95	96	Vivimos en in Mundo tan Falso y mediocre . El Infierno es aqui mismo en la Tierra , el peor este sistema lo vivimos en este pais ! #usasucks	['ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN']	negative
96	97	""" Hoy estamos de luto , Georgia Tech perdió "" ok dad"	['NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'EN', 'ES', 'NA', 'EN', 'EN']	negative
97	98	Wendy Williams es una de las personas más basura en daytime TV .	['NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN', 'NA']	negative
98	99	El album de zayn no esta tan bueno .. . Fo realz .. . Tiene como 3-4 canciones buenas	['ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'EN', 'NA', 'NA', 'ES', 'ES', 'NA', 'ES', 'ES']	negative
99	100	Chequea mi dm .	['ES', 'ES', 'EN', 'NA']	negative
100	101	Le he preguntado mínimo a 11 personas y ninguno tiene fucking guantes blancos , perf , perf	['ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'NA', 'EN', 'NA', 'ES']	negative
101	102	blah , dna , blah , mutaciones , BCRA1 , blah , RNAi , operón de lactosa , blah , regulación , cáncer .. .	['ES', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'NA', 'NA', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'ES', 'NA', 'NA']	negative
102	103	": * silently whispers "" buen provecho "" to myself because i 'm surrounded by americans *"	['NA', 'NA', 'EN', 'EN', 'NA', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA']	negative
103	104	: vivo en un constante * sigh *	['NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN', 'NA']	negative
104	105	Wow que trajes mas feos se ponen estas tipas pal prom 😹	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA']	negative
105	106	: ¿ Para esto me cancelaron mi ring ?	['NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA']	negative
106	107	you had one job .. . autogoal no es uno de ellos	['EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES']	negative
