	Unnamed: 0	uid	sentence	lang	sentiment	translation
33	33	34	Out of my pocket : Lo pago de mi bolsillo . I ’m paying for my daughter ’s college straight out of my pocket , no loans or anything .	['EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'NA']	neutral	Out of my pocket : It payment of me pocket . I ’m paying for my daughter ’s college straight out of my pocket , no loans or anything .
34	34	35	And ima be in here for 4 hours #nopostacabron #fml	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'ES', 'NA']	neutral	And have be in here for 4 hours #nopostacabron #fml
35	35	36	At the drop of a dime : Instantáneamente sin vacilación . Do n’t test me , I ’ll leave you at the drop of a dime .	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'NA']	negative	At the drop of a dime : Instantly sin hesitation . Do n’t test me , I ’ll leave you at the drop of a dime .
36	36	37	lmao I cant stop laughing << la zombie , uhh girl I see you getting u shine on .. ok nvm bye !	['EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'EN', 'NA', 'NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'EN', 'EN', 'EN', 'NA']	positive	lmao I cant stop laughing << the zombie , uhh girl I see you getting in shine on .. ok nvm bye !
37	37	38	y observa q las otras silabas tienen un ə , en general las silabas sin acento tienen un ə o un ɪ community kəˈmyu nɪ ti	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'NA', 'EN', 'NA', 'NA', 'NA']	positive	Y observe q the others syllables have and a , in general the syllables sin accent have and a O and ɪ community kəˈmyu nɪ of
38	38	39	lmao you have to move the cordon a certain way or else no pasa el corriente 😂 ?	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'NA', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'NA', 'NA']	neutral	lmao you have to move the cordon a certain way or else no happens the stream 😂 ?
39	39	40	no pos wow 😂😋👌	['NA', 'ES', 'EN', 'NA']	positive	no pos wow 😂😋👌
40	40	41	shop online seca : b	['EN', 'EN', 'ES', 'NA', 'NA']	positive	shop online dry : b
41	41	42	"Cuando ellos dicen "" late "" no dicen leɪt ni leɪ dicen una t "" muda "" , les voy a avisar cuando lo tenga actualizado en la web :)"	['ES', 'ES', 'ES', 'NA', 'EN', 'NA', 'ES', 'ES', 'NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA']	positive	"When they they say "" late "" no they say leɪt in leɪ they say a t "" time "" , them I go a warn when it have updated in the web :)"
42	42	43	Rodeo tonight ... aver k tal me ba esta ves !! ! __-	['NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA']	positive	Rodeo tonight ... having k of me not is know !! ! __-
43	43	44	"mess up significa muchas cosas , allí significa algo así como hmmm "" joderle la vida "" sorry , sorry , no encuentro otra palabra :)"	['EN', 'EN', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'NA', 'EN', 'NA', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA']	negative	"mess up means many stuff , over there means something So as hmmm "" fuck him the life "" sorry , sorry , no meeting other word :)"
44	44	45	My nieghbors are like the loudest family in the whole apt #callate	['EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES']	positive	My nieghbors are like the loudest family in the whole apt #shut up
45	45	46	: la gente jura que uno no se cansa y estará siempre aguantando todo , mmmm not .	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'EN', 'NA']	negative	: the people jura what one no with tired Y will be forever holding on all , mmmm not .
46	46	47	: #70sbaby #styling & #vestido #BCBG #mascada # #RalphLauren #zapatos … http://t.co/I04jbqVt52	['NA', 'NA', 'EN', 'NA', 'ES', 'NA', 'ES', 'NA', 'NA', 'ES', 'NA', 'NA']	neutral	: #70sbaby #styling & #dress #BCBG # Masada # #RalphLauren #shoes … http://t.co/I04jbqVt52
47	47	48	Acabo de terminar ! El rap del Tag del Youtuber ! Que fucking cansancio !	['ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'EN', 'ES', 'EN', 'NA', 'ES', 'EN', 'ES', 'NA']	negative	Finished of end up ! The rap of Tag of Youtuber ! What fucking fatigue !
48	48	49	Que fkn stress	['ES', 'EN', 'EN']	negative	What for example stress
49	49	50	En casa me paso en sport bra porque este calor de mierda no lo aguanta nadieeeee	['ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative	In House me step in sport Good why It is heat of shit no it hold nadieeeee
50	50	51	: This Scene Will Make You Sad No Matter What	['NA', 'EN', 'EN', 'EN', 'EN', 'EN', 'EN', 'ES', 'EN', 'EN']	negative	: This Scene Will Make You Sad No Matter What
51	51	52	: Yo prefiero quemar todo porque aja después quien recoge eso ? El bichhhhhh	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN']	negative	: They I prefer burn down all why just after who pick up it&#39;s ? The bichhhhhh
52	52	53	gringos be eating so early .. .	['ES', 'EN', 'EN', 'EN', 'EN', 'NA', 'NA']	negative	gringos be eating so early .. .
53	53	54	El video de zomber Girl va a tardar mas de 5 horas en renderizarse por estar grabado en 5K .. . y ahora que asemoh ?. .. no matamo ?	['ES', 'ES', 'ES', 'NA', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'NA']	negative	The video of zomber Girl and a delay but of 5 hours in render by be Recorded in 5K .. . Y now what cool ?. .. no attainable ?
54	54	55	: Siempre quieren buscarle justificación a las cosas mas crueles , mera missed me with that bullshit , educate y después habla .	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'EN', 'EN', 'EN', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA']	negative	: Always want look for him justification a the stuff but cruel , more missed me with that bullshit , educate Y after speech .
55	55	56	": Mi mejor amiga se pasa dando rt a tweets que dicen "" Yo siempre contesto rápido "" ; al jevo será porque a mi hasta me ignora"	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'EN', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative	": Me better amiga with happens giving rt a tweets what they say "" They forever context fast "" ; al eat it will be why a me until me ignore"
56	56	57	": Anna Karina and Jean-Paul Belmondo in "" Pierrot le fou "" ( 1965 ) ."	['NA', 'NA', 'NA', 'EN', 'NA', 'NA', 'EN', 'NA', 'NA', 'ES', 'NA', 'NA', 'NA', 'NA', 'NA', 'NA']	neutral	": Anna Karina and Jean Paul Belmondo in "" Pierrot the new "" ( 1965 ) ."
57	57	58	: melo sin poder subir el vlog	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN']	negative	: melo sin can ride up the vlog
58	58	59	La gente en la uni que van un día normal medios disfrazados , en Halloween se botan	['ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'ES', 'ES']	negative	The people in the him what from and day normal media disguised , in Halloween with Botan
59	59	60	cuidado en Rexville plaza aparente asesinato en el Parking por popeyes .	['ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'NA', 'NA']	negative	caution in Rexville plaza apparent murder in the Parking by popeyes .
60	60	61	: 🚨 🚨 🚨 🚨 Si lo han visto Por Favor , comuniquense DM o Llamen , Gracias 🚨 🚨 🚨 🚨	['NA', 'NA', 'NA', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'ES', 'ES', 'NA', 'ES', 'NA', 'NA', 'NA', 'NA']	negative	: 🚨 🚨 🚨 🚨 And it he view By Favor , communicate DM O call , Thank you 🚨 🚨 🚨 🚨
61	61	62	": "" Senior year es un paseo "" QUIEN CARAJO DIJO SEMEJANTE MENTIRA"	['NA', 'NA', 'EN', 'EN', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES']	negative	": "" Senior year it is and walk "" WHO FUCK SAID SIMILAR LIE"
62	62	63	: Ideas de promposal de mis amigas = public humiliation	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'EN', 'EN']	negative	: Ideas of promposal of what friends = public humiliation
63	63	64	SANTA ROSA I SEC LOS LOPEZ SIN LUZ !! !	['ES', 'NA', 'EN', 'EN', 'ES', 'NA', 'ES', 'ES', 'NA', 'NA']	negative	SANTA ROSA I SEC THE LOPEZ SIN LIGHT !! !
64	64	65	He tenido problemas con los planos de Gopro que tengo para el vlog . Tengo que recuperarlos y va a tardar , así que EL VLOG SE SUBE MAÑANA .	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA']	negative	He Dyed problems with the plans of Gopro what I&#39;ve got for the vlog . I&#39;ve got what get them back Y and a delay , So what THE VLOG SE GOES UP MORNING .
65	65	66	"48 min . y nada pasa , me paro a ir al baño y me reciben con "" te perdiste el golazo "" .. . ok ya no me voy a mover"	['NA', 'ES', 'NA', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative	"48 min . Y anything happens , me stop a and al bath Y me receive with "" the you lost the great goal "" .. . ok of no me I go a mover"
66	66	67	: Cuando le dedicas un tierno y creativo Promposal .. . Pero te dicen que NO #habichuelastiernas #prom ?	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA']	negative	: When the dedicate and Tender Y creative Promposal .. . But the they say what NO #habichuelastiernas #prom ?
67	67	68	Retweet si encuentras los errores .. . http://t.co/CVcTzqN4Ar	['EN', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA', 'NA']	negative	Retweet and you find the mistakes .. . http://t.co/CVcTzqN4Ar
68	68	69	: Necesito un hogar ! Please !! ! Soy macho ! 🐶🐶🐶🐶🚨🚨🚨🚨🚨	['NA', 'ES', 'ES', 'ES', 'NA', 'EN', 'NA', 'NA', 'ES', 'ES', 'NA', 'NA']	negative	: Needed and home ! Please !! ! Soy eyes ! 🐶🐶🐶🐶🚨🚨🚨🚨🚨
69	69	70	el update de sc esta raro cc .. .	['ES', 'EN', 'ES', 'NA', 'ES', 'ES', 'NA', 'NA', 'NA']	negative	the update of sc is down cc .. .
70	70	71	Se trata de perspectiva , Porqué sabia a carajo . #anibalelchef #manvsfood http://t.co/zl6s6ylMxA	['ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'EN', 'NA']	negative	Se about of perspective , Because you knew a fuck . #anibalelchef #manvsfood http://t.co/zl6s6ylMxA
71	71	72	: Estoy a 8 días de acabar mi año senior . ¿ Tu crees que a estas alturas me importa un carajo ?	['NA', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA']	negative	: Am a 8 days of finish me year senior . ¿ That do you think what a is heights me it matters and fuck ?
72	72	73	you have no idea 😔	['EN', 'EN', 'ES', 'ES', 'NA']	negative	you have no idea 😔
73	73	74	El cabron ni se movio .. obviamente van a meter goal	['ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'EN']	negative	The dumbass in with motion .. obviously from a meter goal
74	74	75	Que struggle es no saber que comer	['ES', 'EN', 'ES', 'ES', 'ES', 'ES', 'ES']	negative	What struggle it is no know what eat
75	75	76	Ajjaja , no dirás lo mismo cuando un dia de estos te carrilee a global ofensive ! XD	['ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'NA']	negative	The commander , no will you say it same when and is of these the carrilee a global offensive ! XD
76	76	77	: Hoy #participantes #sty …	['NA', 'ES', 'ES', 'EN', 'NA']	negative	: Today #participants #sty …
77	77	78	Cuando te invitan a un party , no vas y ves un snap del party con la canción sk8ter boy de Avril Lavigne sabes q tomaste la decisión correcta	['ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'EN', 'ES', 'ES', 'ES', 'NA', 'EN', 'ES', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES']	negative	When the invite a and party , no your Y know and snap of party with the song sk8ter boy of April Lavigne you know q do you drink tea the decision correct
78	78	79	Te vas con #Elvacilondelagatita Vacilon Night out a #Bongos #Hollywood Cena Bebida y mucho vacilon .… http://t.co/SeTjVgMDG1	['ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'EN', 'EN', 'NA', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'NA']	negative	The your with #Elvacilondelegated vacilon Night out a #Bongos #Hollywood Cena Drink Y much waver .… http://t.co/SeTjVgMDG1
79	79	80	Yo no sé si es el stress del MCAT lo que me tiene no soportando a NADIE o qué , pero cualquier bobería que me dicen o leo me está MALO CC .	['ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'NA']	negative	They no see and it is the stress of MCAT it what me have no enduring a NO ONE O what , but any nonsense what me they say O leo me it is PLACE CC .
80	80	81	: Yo trato de estar de buen humor pero la gente siempre la fucking caga	['NA', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'ES', 'EN', 'ES']	negative	: They deal of be of good humor but the people forever the fucking caga
