	Unnamed: 0	sentence	sentiment	translation
38	38	Padam 1 st day kaanum athu urappu.	positive	Padam 1 st day kaanum athu urappu.
39	39	masss effect	positive	mass effect
40	40	Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power	positive	Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power
41	41	Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	positive	Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...
42	42	Costumes Irshad khan Cherukunnuijj Poli mutheeee	positive	Costumes Irshad khan Cherukunnuijj Poli mutheeee
43	43	Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	neutral	Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle
44	44	aaa last bhakam marana mass #mammookka	positive	aaa last bhakam marana mass #mammookka
45	45	Big B 2 pole und	neutral	Big B 2 pole und
46	46	LALETTAAA MUTHEE POLICHU	positive	LALETTAAA MUTHEE POLICHU
47	47	Edhu kondu prethiraj neruthiyal Kollam	positive	Edhu kondu prethiraj neruthiyal Kollam
48	48	Mammotiyude look divasam kudunthorum kodi varikayannallo	positive	Mammotiyude look divasam kudunthorum kodi varikayannallo
49	49	Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	negative	Natural venom polum side lottu maarinikke anganullavar korach mass okke nallaatha
50	50	malayala sinimakkoru puthiya charithram pirakkatte !	positive	malayala sinimakkoru puthiya charithram pirakkatte !
51	51	Koora padam	negative	Koora padam
52	52	Ennalum ente Idivettu suguna ninne ithilu kandillalo	negative	Ennalum ente Idivettu suguna ninne ithilu kandillalo
53	53	Oru  mikacha thriling movie aavum	positive	Oru mikacha thrilling movie aagum
54	54	Undakku shesham mammookayude adutha natural movie	positive	Undakku shesham mammookayude adutha natural movie
55	55	Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	positive	Jayasurya chyuna a ella characters um pwoliya... Shaji pappen
56	56	Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	positive	Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum
57	57	Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	positive	Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.
58	58	Trailer I'll tannaayy full story uondu	positive	Trailer I'll tannaayy full story uondu
59	59	Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	positive	Oru BIGB feel.... ..aiivaaaaa. Pwolichuu
60	60	Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam	positive	Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam
61	61	Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu	positive	Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu
62	62	Annum ennum ennum ikka mass 🤩🥰	positive	Annum ennum ennum ikka mass 🤩🥰
63	63	vere level trailer and bgm gopi sunder musical	positive	vere level trailer and bgm gopi sunder musical
64	64	Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha	neutral	Padam irangiyittu parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha
65	65	E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..	positive	E masathew 28 enna date nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm ..
66	66	Jelli kettinte trailer bgm pole ind	positive	Jelli kettinte trailer bgm pole ind
67	67	E traileril ntha chekutan undo	positive	E traileril ntha chekutan undo
68	68	kalakki Kalakki. Onnum parayan illa	positive	Kalakki Kalakki. Onnum parayan illa
69	69	Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.	positive	Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.
70	70	Vere level of making nd lalettan was awesome	positive	Vere level of making and lalettan was awesome
71	71	Next Week china povan irikkana njan ithu kandeche njan povathullu	positive	Next week china povan irikkana njan ithu kandeche njan povathullu
72	72	peter hein nte stunt ella cinema il um ore pattern aanallo	neutral	peter hein nte stunt ella cinema il um ore pattern aanallo
73	73	Ohoo mamooka powlikum ee jati tralier making kiduwee	positive	Ohio mammootty powlikum ee jati trailer making shadow
74	74	Onnum parayanilla. Vere leval movie ayirikkum	positive	Onnum parayanilla. Vera level movie ayirikkum
75	75	Raju ettaaaa ningal Vera level	positive	Raju ettaaaaa ningal Vera level
76	76	Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ	positive	Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI laletan
77	77	Late aayi vannalum latest aayi varuvenne	positive	Late aayi vannalum latest aayi varuvenne
78	78	Lokal poyi Madhura raja teaser kanada	negative	Lokal Poyi Madhura Raja Teaser Kannada
79	79	Oru marana mass chitramaavatte laleeta lucifer	positive	Oru marana mass chitramaavatte laleeta lucifer
80	80	Kuru potti olikknna 1k poojappura fans🤣🤣🤣	negative	Kuru potti olikknna 1k poojappura fans🤣🤣🤣
81	81	adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	positive	adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema
82	82	Mohanlal prithvi fans like adik lucifer bamber hit akum	positive	Mohanlal prithvi fans like adik lucifer bamber hit akum
83	83	Jayasurya mass after long time.podi pooram	positive	Jayasurya mass after long time.podi pooram
84	84	Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu	positive	Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu
85	85	Kure per dislike adich kuru pottikkunnund	negative	Kure per dislike adich kuru pottikkunnund
86	86	Dislike adechath alla punnara makkalum anta veral നമസ്കാരം	negative	Dislike adechath alla punnara makkalum anta veral salutation
87	87	Fight dialoge bgm oru rakshayum illa	positive	Fight dialoge bgm oru rakshayum illa
88	88	Ithu rajayude 3 strong Alla ettande Lucifer	neutral	Ithu rajayude 3 strong Alla ettande Lucifer
89	89	E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu	positive	E padathinte making ushar aanenu thonunnu.. Trailer kanditt padam kandathokem thallipoli aayirunnu. But trailer polichu
90	90	Samyuktha vendayirunnu. :(  Aishu pwoli ann	negative	Samyuktha vendayirunnu. :( Aishu pwoli ann
91	91	Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	negative	Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal
92	92	Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	negative	Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu
93	93	JAI LUCIFER JAI LALETTAN JAI PRITHWI	positive	JAI LUCIFER JAI LALETTAN JAI PRITHWI
94	94	Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck	positive	Nalla punch ulla trailer mammootty Jai anusree shamna ellarkum best of luck
95	95	Bro support koduthilenkilum dislike adikkathirunoode .	negative	Bro support koduthilenkilum dislike adikkathirunoode .
96	96	Suraj ettan fans fans like ivide	positive	Suraj ettan fans fans like ivide
97	97	Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa	positive	Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa
98	98	E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰	positive	E padam hit akum enn urapullavar like adikan ulla sthalam
99	99	ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	negative	ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya
100	100	Ith oru onnonnara item aayrikkum	positive	Ith oru onnonnara item aayrikkum
101	101	Njan mammoty fan Ann pakshe enikk ishtapettu	positive	Njan mammootty fan Ann pakshe enik ishtapettu
102	102	Pirates of carbien aarum kanditilananu mone ninte vicharam	negative	Pirates of caribbean aarum kanditilananu mone ninte vicharam
103	103	Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli	positive	Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli
104	104	Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	positive	Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale
105	105	im a katta lalettan fan....but ithu hit aaakanam..heavy	positive	im a katta lalettan fan....but ithu hit aaakanam..heavy
106	106	Katta vishayam oru rekshem illa etta fdfs	positive	Katta vishayam oru rekshem illa etta fdfs
107	107	Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...	negative	Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude... Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...
108	108	Oru dubbing padathinte trailer pole.  kidu	positive	Oru dubbing padathinte trailer pole. kid
109	109	Myarakam ikka  Hollywood direction and visuals	positive	Myarakam ikka Hollywood direction and visuals
110	110	Ini kando... Adiude Ideude Vedi pooram......🧨🧨	positive	Ini kando... Adiude Ideude Vedi pooram......🧨🧨
111	111	Aa kannukal mathram mathi a character depth mansilkan laletta.....	positive	Aa kannukal mathram mathi a character depth mansilkan laletta.....
112	112	Trailer Oru rakshyum illa adi poli jayettan takarkkum	positive	Trailer Oru rakshyum illa adi poli jayettan takarkkum
113	113	Ee Padam Kolamavukayaanengil it will be because of Peter hein	negative	Ee Padam Kolamavukayaanengil it will be because of Peter hein
114	114	Movide peru kandu dislike adikaan vannatha	positive	Movide peru kandu dislike adikaan vannatha
115	115	Avalude name veykkunille avar lead cheyyunna film alle..	negative	Avalude name veykkunille avar lead cheyyunna film alle..
116	116	Kidu bgm for ikka kidu movie super	positive	Kidu bgm for ikka kidu movie super
117	117	MAMMOOKKAAA....  NIGHAL MUTHAANU....Nighal kola maassalla...  kolaveri maasaanu.....	positive	MAMMOOKKAAA.... NIGHAL MUTHAANU....Nighal kola maassalla... kolaveri maasaanu.....
118	118	Deleep atta padam orappu maga hit	positive	Deleep atta padam orappu maga hit
119	119	ee padam 8 nilayil podannamennju prarthikunnju	negative	ee padam 8 nilayil podannamennju prarthikunnju
120	120	Ikka i lv uuuuu big screen kandolan waitinggggg	positive	Ikka i lv uuuuu big screen kandolan waitinggggg
121	121	trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu	neutral	trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu
122	122	Ayye poraaa.... lalettan nu role ille??	negative	Ayye poraaa.... lalettan nu role ille??
123	123	Vineethangil adu supero super chodikanundo allea vineetheaaa	positive	Vineethangil adu supero super chodikanundo allea vineetheaaa
124	124	Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka	positive	Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka
125	125	Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu	positive	Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu
126	126	Enta ponno ikka kalakum van trailer	positive	Enta ponno ikka kalakum van trailer
127	127	Entammo ikka powli powli ...heavy item	positive	Entammo ikka powli powli ...heavy item
128	128	Ee trailer vachaaanooo luciferinodu muttaan varunnath	negative	Ee trailer vachaaanooo luciferinodu muttaan varunnath
129	129	Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan	positive	Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan
130	130	Inn ni8 full repeat adich kanan ponavar ivide like adicholu	positive	Inn ni8 full repeat adich kanan ponavar ivide like adicholu
131	131	Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie	positive	Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie
132	132	Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super	positive	Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super
133	133	Moood poyi mood poyi aa sabune kandappol mood poyi	negative	Mood poyi mood poyi aa sabune kandappol mood poyi
134	134	Dislike adicha pullanmarude mugathulla adiyavatte oro likum	negative	Dislike adicha pullanmarude mugathulla adiyavatte oro likum
135	135	@02:19 Ee scene theatril polikkum .... Lalettta :):>3	positive	@02:19 Ee scene theatril polikkum .... Lalettta :):>3
136	136	njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm	positive	njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm
137	137	Vivek oberoi best villan powli 🤩🤩🤩	positive	Vivek Oberoi best villan powli 🤩🤩🤩
138	138	Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	positive	Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu
139	139	Trailer oru rakshayum illa 3 vattam kandu  Not the point aarudeyum fan alla	positive	Trailer oru rakshayum illa 3 vattam kandu Not the point aarudeyum fan alla
140	140	Ambooo Roman ezunettu  EPIC loading	positive	Ambooo Roman ezunettu EPIC loading
141	141	Powlii powlii...last dialogue comedy anenkilu kidlm tyming	positive	Powli powlii...last dialogue comedy aanenkilum kingdom timing
142	142	Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam	positive	Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam
143	143	Trailernu katta wait cheythirikkunna ethra aalundu ivide	positive	Trailernu katta wait cheythirikkunna ethra aalundu ivide
144	144	oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club  adichaaaaaach	positive	oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club adichaaaaaach
145	145	Police ill minimum  hight elle  Aju oke police	negative	Police ill minimum hight elle Aju oke police
146	146	Orika kanda veendum veendum kanan thonnum..	positive	Orika kanda veendum veendum kanan thonnum..
147	147	Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn	negative	Dislike cheydha thendigalk releasein kaanich therum nangal endhan mamangam enn
148	148	EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu	positive	EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu
149	149	ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha	positive	ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha
150	150	Rajuvetta ningal mass annu.  Ammoo enna oru feel.  Laletta	positive	Rajuvetta ningal mass annu. Ammoo enna oru feel. Laletta
151	151	Uff mwonr kinnam kaachya item	positive	Uff mwonr kinnam kaachya item
152	152	madhura rajayum  usharavatte ...from a lalettan fan .	positive	madhura rajayum usharavatte ...from a lalettan fan.
153	153	Sambavam kollam but	neutral	Sambavam kollam but
154	154	Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam	positive	Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam
155	155	Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......	positive	Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......
156	156	Ee padam kand chirich pandaram adangi	positive	Ee padam kand chirich pandaram adangi
157	157	Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla	negative	Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla
158	158	Hvy iteam	positive	Heavy item
159	159	Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*	positive	Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*
160	160	Fight vere level teateril paper kure keerendi varum ichayoooo	positive	Fight vere level teateril paper kure keerendi varum ichayoooo
161	161	Trailer vere level Anu makkale🤩🤩Mammookka uyir...   mamangam_november 21	positive	Trailer vere level Anu makkale🤩🤩Mammootty uyir... mamangam november 21
162	162	Ethilum valiya masSs eni ella  Padam 100 crore loading	positive	Ethilum valiya masSs eni ella Padam 100 crore loading
163	163	E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best	neutral	E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best
164	164	Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....	negative	Pokiri Raja naa athra odulaa ee chitram enikk thonnunnu....
165	165	Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi	positive	Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi
166	166	Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting	positive	Mohanlal fan aakumennu feels katta waiting with Eee oru movie
167	167	69 years old Megastar  Nammude Mammookkaa oreee poli mammookkaa	positive	69 years old Megastar Nammude Mammookka press polo mammookka
168	168	Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu	positive	Oru mass political-family blockbuster hit aakatteyenn aashamsikkunnu
169	169	Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu	negative	Trailer kand 8 nilayil pothum ennu thonnunnu mumbathe pole tholvigal vaari kootan thudangunnu
170	170	Vineeth sreenivasan presents	positive	Vineeth Sreenivasan presents
171	171	Ikkaye kanan vendi mathram fdfs urapichavar like	positive	Ikkaye kanan vendi mathram fdfs urapichavar like
172	172	Ente ikkkaaaa kola mass YouTube hang aanu makkale	positive	Ente ikkkaaaa kola mass YouTube hang aanu makkale
173	173	Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....	negative	Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....
174	174	1 st day kazinju theatre bakki undayal mathiyayirunnu...lalettan	positive	1 st day kazinju theater bakki undayal mathiyayirunnu...lalettan
175	175	Lucifer pola nalla oru padam avatte	positive	Lucifer pola nalla oru padam avatte
176	176	Negative aayi onmilla   eattn polikm	positive	Negative aayi onmilla eattn polikm
177	177	Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike	positive	Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike
178	178	Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..	positive	Pwlichu........... Ikkka pwlichu mass film.. ...Hollywood cut..
179	179	Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all	negative	Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all
180	180	Ambooo  Ettan kidu acting  Raju Ettan poli making	positive	Ambooo Ettan kidu acting Raju Ettan poli making
181	181	onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩	positive	onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩
182	182	Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing	positive	Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing
183	183	Ejjati item ettan pwolikkum all the best raju etta	positive	Ejjati item ettan pwolikkum all the best raju etta
184	184	Ohhh my god... endhokke looks aanu...  onnum parayaanillaa... katta waiting lalettaa...	positive	Ohhh my god... endhokke looks aanu... onnum parayaan ilaa... katta waiting laletta...
185	185	Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣	neutral	Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣
186	186	Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo	negative	Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanoooo
187	187	Trilar kanditt padam. Valiya pratheeksha illaa	neutral	Trilar kanditt padam. Valiya pratheeksha illaa
188	188	Wtng laletta...	neutral	Wtng laletta...
189	189	Looks like netflix series oru film aayi coloring Mach aavunnilla	negative	Looks like netflix series oru film aayi coloring Mach aavunnilla
190	190	ooro secondum mmakkayude entrik vendi waiting aayirunnu	positive	ooro secondum mmakkayude entrik vendi waiting aayirunnu
191	191	tovinok pakaram unni mukundan mathiyarunnu....	neutral	tovinok pakaram unni mukundan mathiyarunnu….
192	192	Soundil  kurachukoodi  bass koodi  undayinnel kidilan	neutral	Soundil kurachu koodi bass koodi undayinnel kidilan
193	193	Lalettan faanan but ee trailer kidukki tto	positive	Lalettan faanan but ee trailer kidukki tto
194	194	Adipoli	positive	Adipoli
195	195	Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka	positive	Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka
196	196	Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn	positive	Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn
197	197	Prathviraaj	positive	Prithviraj
198	198	Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu	positive	Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu
199	199	Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane	positive	Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyan
200	200	Veruthayayi kashu poyi pratheeshyode arum pokaruthe	negative	Veruthayayi kashu poyi pratheeshyode arum pokaruthe
201	201	Super mega hit aaayirikkum  mark	positive	Super mega hit aayirikkum mark
202	202	Aaaa mundum pookal shirtum vere arund ithra look	positive	Aaaa mundum pookal shirtum vere arund ithra look
203	203	Trailer kidukki..film ith pole nannaya mathiyarnnu.	positive	Trailer kidukki..film with pole nannaya mathiyarnnu.
204	204	Enta ponno ithu verae level Iove u ikka	positive	Ente ponno idhu vera level Love u ikka
205	205	Korach adhikum award kude  undakendi verum enn toonna suraajettante acting kanumbo	positive	Korach adhikum award kude undakendi verum enn toonna suraajettante acting kanumbo
206	206	Wow..Maranamaas Trailer  Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS	positive	Wow..Maranamaas Trailer Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS
207	207	Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE	neutral	Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE
208	208	Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...	positive	Ith kidukkan aakum... Eagerly waiting... lub you ikkaa from eattan fan...
209	209	173k views and 173k likes bakki kore mammunni fans 18k	negative	173k views and 173k likes bakki kore mammunni fans 18k
210	210	Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi	negative	Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi
211	211	Trailer kand  romanjam  Vanna ettan  fans like adikn	positive	Trailer kand romanjam Vanna ettan fans like adikn
212	212	Thrissur slang paliyenn thonnunnath enikk mathramano?	negative	Thrissur slang paliyenn thonnunnath enikk mathramano?
