	Unnamed: 0	Unnamed: 0.1	sentence	sentiment	transliteration	translation
42	42	42	Costumes Irshad khan Cherukunnuijj Poli mutheeee	positive	കോസ്റ്റസ് ഈര്ഷദ ഖാന് ചേരുകുന്നുഇജ്ജ പോളി മുഥീ	Costus Jealousy Khan Joining Polly Muthi
43	43	43	Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	neutral	ഇഥേന്കീലുമ ഓരു ഹിത എന്കീലുമ ആയാല മാംഥീപദ്ചോന് അദുഥാ പദക്കമ ആവാല	Ithenkiluma one Hita Enkieluma Ayala Manthipadhon Adutha Word Avala
44	44	44	aaa last bhakam marana mass #mammookka	positive	ആ ലാസ്റ്റ് ഭാകാമ മാരാനാ മാസ മമൂക്കാ	That Last Bhakama Marana month Momoka
45	45	45	Big B 2 pole und	neutral	ബിഗ ബ 2 പോല ഉണ്ട്	Biga b 2 like There is
46	46	46	LALETTAAA MUTHEE POLICHU	positive	ലാലെട്ടാ മുഥീ പോളിചു	Laletta Muthi Polichu
47	47	47	Edhu kondu prethiraj neruthiyal Kollam	positive	ഏധു കോണ്ടു പ്രേഥീരാജ നേരുഥീയല കൊല്ലം	how many Condo Prethiraja Nerutheela Kollam
48	48	48	Mammotiyude look divasam kudunthorum kodi varikayannallo	positive	മമ്മോതീയുദേ ലൂക ദിവാസമ കുദുന്തരുമ കോദി വാരികയാന്നാലോ	O Mammothy Luke Divasama Kuduntaruma Cody What about weekly?
49	49	49	Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	negative	നാച്ചുറല് വേണാമ പോലുംമ സൈഡ് ലോട്ടു മാരീനീക്കേ അംഗനുല്ലാവര കോരച മാസ ഓക്കേ നല്ലാതാ	Natural don&#39;t want Even Side The lot Marinette Non-members the bark month okay not good
50	50	50	malayala sinimakkoru puthiya charithram pirakkatte !	positive	മലയലാ സിനീമക്കോരു പുഥീയാ ചരീഥ്രാമ പീരക്കാട്ട 	Malayalam Movie lovers Puthiya Charitrama Peerakatta
51	51	51	Koora padam	negative	കൂരാ പദമ	No Padma
52	52	52	Ennalum ente Idivettu suguna ninne ithilu kandillalo	negative	എന്നലുംമ ആന്റ് ഇദിവേത്തു സുഗുനാ നീന്നേ ഇതീലു കണ്ഡില്ലാലോ	but also Ant Idivethu Suguna you This is it Can&#39;t see
53	53	53	Oru  mikacha thriling movie aavum	positive	ഓരു  മികാചാ ത്രിലിങ്ങ് മോവീഏ ആവഉംമ	one Mikacha Thrilling The movie Ummmm
54	54	54	Undakku shesham mammookayude adutha natural movie	positive	ഉന്ദക്കും ശേഷമ മമൂകായുഡേ അദുഥാ നാച്ചുറല് മോവീഏ	Will be happy After Mamukayuday Adutha Natural The movie
55	55	55	Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	positive	ജയസുര്യ ച്യുനാ ആ ഏല്ലാ ചരാക്ട്ര് ഉമ പ്വോലിയാ ശാജീ പപ്പേന	Jayasurya Chuna That Ella Character Uma Poolia Shaji Papana
56	56	56	Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	positive	മമ്മുക്കാ നീന്ഗല ഭാരീക്കനാമ മലയാളം സിനേമാം ഇനീയുല്ലാ കലവമ	Momma Ningala Bharikanama Malayalam cinema not you anymore Kalavama
57	57	57	Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	positive	ഏംഡേ അമ്മോ ആ മുണ്ഡു മദക്കീ വേചുല്ലാ ആ ചാവിത്ത   ലാലെട്ടാ	Amday Ammo That Mundu Alcohol Vechulla That Chavitta Laletta
58	58	58	Trailer I'll tannaayy full story uondu	positive	ട്രേല്ര് ഇല്ല തന്നായയ ഫുഅല സ്റ്റോറി ഉഓംഡു	The trailer no The same Fuala Story Uomdu
59	59	59	Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	positive	ഓരു ബിഗ്ബ  ഫീല  ഈവാ  പ്വോലീചൂ	one Bigba Phila Eva Please
60	60	60	Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam	positive	പിന്നേയുംമ പിന്നേയുംമ കാനുംന്നാവര ലീകേ ആദി ലാലത്തേന ഇശ്തമ	And again And again Kanunnavara Leakey Adi Lalatena Ishtama
61	61	61	Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu	positive	പോസിറ്റീവ് കിത്തിയല് പിന്നേ പരായണന്കല്ലോ ഏത്തന ഫന ആയാ ന്ജന താന്മ കന്നും തല്ലീ പോയ് ബുക്കിങ്ങ്സ് കാണ്ഡു	Positive In Kithiel Then Read it What is it? Fana Aya Njana self The hill hit go Bookings Kandu
62	62	62	Annum ennum ennum ikka mass 🤩🥰	positive	അന്നമ എന്നമ എന്നമ ഇക്കാ മാസ 	Annama Name Name Ika month
63	63	63	vere level trailer and bgm gopi sunder musical	positive	വേരാ ലെവല് ട്രേല്ര് ആന്റ് ബ്ഗ്മ ഗോപീ സുന്ദര മ്യൂസിക്കല്	Vera level The trailer Ant Bgma Gopi beautiful the musical
64	64	64	Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha	neutral	പദമ ഇരംഗിയീത്തു  പരായമ മാസ അനോ ക്ലാസ്സ് അനോ എന്നു ഓദിയാന അനുഭവമ കോണ്ടു പരംജതാ	Padma Arrived in Iran parayama month Ano Class Ano that Odiana experience Condo Paramjata
65	65	65	E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..	positive	ഏ മാസതേ 28 ഏനനാ ദേതേ  നാലാതേകാകാന പത്തുവഊ  പത്തില്ലാ അല്വ്വൈറ്റ് ചൈയാന്മ്മ  	A The month itself 28 Enana Dete To become the fourth ten years Not ten Alvwhite Chaiyanma
66	66	66	Jelli kettinte trailer bgm pole ind	positive	ജെല്ലീ കെട്ടീന്റ ട്രേല്ര് ബ്ഗ്മ പോല ഇന്ഡ്	Jelly not built The trailer Bgma like Ind
67	67	67	E traileril ntha chekutan undo	positive	ഏ ട്രേല്രില ന്താ ചേകുതന ഉന്ഡോ	A No trail what Chekutana undo
68	68	68	kalakki Kalakki. Onnum parayan illa	positive	കലാക്കീ കലാക്കീ ഓനനുംമ പരായണ ഇല്ലാ	Kalakee Kalakee Onanumma Recitation no
69	69	69	Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.	positive	ഓരു സാദാ നല്ലാ നാടിന പുരാഥ കദാത്രേ ഉല്ലുഏനീകേ ഇശ്ട്താ പെട്ടൂ	one Sada good nadina Puratha Kadatre Ullueneike Ishta hurry up
70	70	70	Vere level of making nd lalettan was awesome	positive	വേരാ ലെവല് ഓഫ് മകിംഗ് ന്ദ ലാലെത്തന വാസ അവെസോമ	Vera level Off Making Nda Lalethana Vasa Awesome
71	71	71	Next Week china povan irikkana njan ithu kandeche njan povathullu	positive	നെക്സ്ട് വിക ചീനാ പോവന ഇരീക്കാനാ ന്ജന ഇതു കണ്ഡേശ ന്ജന പോവാഥുല്ലൂ	Next Vika China Go away Irikana Njana This Kandesh Njana Let&#39;s go
72	72	72	peter hein nte stunt ella cinema il um ore pattern aanallo	neutral	പേറ്റര് ഹൈം നീം സ്തുംത ഏല്ലാ സിനേമാം ഇല ഉമ ഓരേ പട്ടണ് ആനാല്ലോ	Peter Haim Neem thank you Ella cinema leaf Uma Ore the town Because
73	73	73	Ohoo mamooka powlikum ee jati tralier making kiduwee	positive	ഓഹൂ മമൂകാ പോവ്ലികുമ ഈം ജാതി ട്രാലിയറ് മകിംഗ് കിദുവി	Oooh Momoka Povlikuma Ahem caste Tralier Making Kiduvi
74	74	74	Onnum parayanilla. Vere leval movie ayirikkum	positive	ഓനനുംമ പരായനിലആ വേരാ ലേവല മോവീഏ അയീരീക്കുംമ	Onanumma Parayanila Vera Levala The movie Ayeerikumma
75	75	75	Raju ettaaaa ningal Vera level	positive	രാജു ഏത്ടാ നീന്ഗല വേരാ ലെവല്	Raju what Ningala Vera level
76	76	76	Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ	positive	ഇതോരു ഓനനോന്നാരാ ഇതേമ അവുമേന്ന ഉറാപ്പുല്ലാവര ലീകേ ആദി ലലടടൻ	This one Onanonnara The same Avumenna Urapullavara Leakey Adi Lalatadan
77	77	77	Late aayi vannalum latest aayi varuvenne	positive	ലേറ്റ് ആയീ വന്നാലുംമ ലാറ്റ്സ്റ്റ് ആയീ വരുവേന്നേ	Late Yes come Latst Yes Do you want to come?
78	78	78	Lokal poyi Madhura raja teaser kanada	negative	ലോകല് പോയി മധുരാ രാജാ ടീസര് കനാഡാ	in the world gone madura the king Teaser Canada
79	79	79	Oru marana mass chitramaavatte laleeta lucifer	positive	ഓരു മാരാനാ മാസ ചിത്രമാവത്ത് ലാലീതാ ലുസീഫര	one Marana month Chitramavat Lalitha Lucifera
80	80	80	Kuru potti olikknna 1k poojappura fans🤣🤣🤣	negative	കുരൂ പോത്തി ഓലീക്ക്ന്നാ 1ക പൂജപ്പൂരാ ഫംസ	Come on gone Ollie 1 k Poojapura Phamsa
81	81	81	adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	positive	ആദിയുംമ ബഹലവുംമീല്ലാത സ്വാസ്ഥമയീ കന്ദിരീക്കന പത്തുന്നാ ഓരു നല്ലാ സിനേമാം	Adiyumma No fuss Peace be upon you Looking forward It&#39;s ten one good cinema
82	82	82	Mohanlal prithvi fans like adik lucifer bamber hit akum	positive	മോഹനലാല പ്രീഥ്വീ ഫംസ ലീകേ ആദിക ലുസീഫര ബാംബേര ഹിത അകുമ	Mohanalala Prithvi Phamsa Leakey Adika Lucifera Bambera Hita Akuma
83	83	83	Jayasurya mass after long time.podi pooram	positive	ജയസുര്യ മാസ അഫ്റ്റര് ലോംഗ് തിമിപോടി പൂരമ	Jayasurya month after Long Timipodi Purama
84	84	84	Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu	positive	മമ്മുക്കാ നീന്ഗല്വ മുഥ്ഹാ ഓരു രക്ഷയീലാ കികീദൂ	Momma long leg Mutha one Salvation Kiki Doo
85	85	85	Kure per dislike adich kuru pottikkunnund	negative	കുരേ പര ഡിസ്ലീകേ ആദിച കുരൂ പോട്ടിക്കുംന്നുംദ	Kure Para Dislike Adicha Come on Potikumnunna
86	86	86	Dislike adechath alla punnara makkalum anta veral നമസ്കാരം	negative	ഡിസ്ലീകേ അദേചത അല്ലാ പൂന്നാരാ മക്കാലുംമ അംത വേറല് നമസകര	Dislike indecision no Poonnaara McCallum Amta different Namasakara
87	87	87	Fight dialoge bgm oru rakshayum illa	positive	ഫൈറ്റ് ദീഅലോജ ബ്ഗ്മ ഓരു രക്ഷയുംമ ഇല്ലാ	Fight The Aloja Bgma one Salvation no
88	88	88	Ithu rajayude 3 strong Alla ettande Lucifer	neutral	ഇതു രാജയുദേ 3 സ്ട്രോംഗ് അല്ലാ ഏത്തംഡേ ലുസീഫര	This King 3 Strong no Anytime Lucifera
89	89	89	E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu	positive	ഏ പദതീന്റ മകിംഗ് ഉഷാര ആനേനും തോനുനു  ട്രേല്ര് കന്ദിത്ത പദമ കംദതോകേമ തല്ലിപോലി ആയീരനു  ബുത ട്രേല്ര് പ്വോലിചു	A Word of mouth Making pronunciation Anen too It seems The trailer Kandita Padma Kamdatokema Beaten up Ayeran Wednesday The trailer Polichu
90	90	90	Samyuktha vendayirunnu. :(  Aishu pwoli ann	negative	സമ്യുംക്ഥാ വേന്ദയീരുനനു   ഐശും പ്വോലി അന്ന	Samyumktha Vendairunan Aish too Powley Anna
91	91	91	Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	negative	ട്രേല്ര് ഇരാംഗീഇല്ലാ അധീനും മുന്പേ പേദീച ഥഊരീ ഡിസ്ലീകേ ആദികുന്നാ മമ്മുനിയഓലികല്	The trailer No Irangi and under before Peedecha Thaooree Dislike Adi Kunna Mammuniaolikal
92	92	92	Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	negative	ഡിസ്ലീകേ ആദികുന്നാ മംദനമാര അരീയുന്നീല്ലാ ഇതു ഓപേന അക്കീയല വിഏവ്സ നീം എന്നമ കൂഡുംമ എന്നു	Dislike Adi Kunna Madanamara No need This open Akeela Vevsa Neem Name Kudumma that
93	93	93	JAI LUCIFER JAI LALETTAN JAI PRITHWI	positive	ജയ ലുസീഫര ജയ ലാലെത്തന ജയ പ്രീഥ്വീ	Jaya Lucifera Jaya Lalethana Jaya Prithvi
94	94	94	Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck	positive	നല്ലാ പഞ്ച് ഉല്ലാ ട്രേല്ര് മമൂകാ ജയ അനുസ്രീ ശാമ്നാ എല്ലാര്കുമ ബ്സ്റ്റ് ഓഫ് ലുക്	good Punch Ullah The trailer Momoka Jaya Anusri Shamna Everyone Bst Off Look
95	95	95	Bro support koduthilenkilum dislike adikkathirunoode .	negative	ബ്രോ സുപ്പോര്ട്ട് കോദുതീലേന്കീലുമ ഡിസ്ലീകേ ആദിക്കതീരുനൂഡേ 	Bro support Kodutheelenkiluma Dislike From the beginning
96	96	96	Suraj ettan fans fans like ivide	positive	സൂരജ് ഏത്തന ഫംസ ഫംസ ലീകേ ഇവിഡ്	Suraj What is it? Phamsa Phamsa Leakey Evid
97	97	97	Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa	positive	ഏഇഡ് ഉഷാരക്ബനാമ ഇഥീരീ ലേറ്റ് അയാലുമ നമ്മല പോലിക്കുംമ മമ്മുക്കാ സാ	Aid Usharakbanama ethereal Late Ayaluma We are Pollykumma Momma Sa
98	98	98	E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰	positive	ഏ പദമ ഹിത അകുമ ഏന ഉരാപുല്ലാവര ലീകേ ആദികന ഉല്ലാ സ്ഥാലമ	A Padma Hita Akuma Ena Urapullavara Leakey Adikana Ullah Stalama
99	99	99	ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	negative	ഈം ഉന്ലീകേ ആദിചാവാര്ക ഓരു ആസുകാമ ഉണ്ഡു ആന്തുവാനന അരിയാമോ അസൂയാ	Ahem Unleek Adichavarka one Asukama undu Anthony do you know Jealousy
100	100	100	Ith oru onnonnara item aayrikkum	positive	ഇത ഓരു ഓനനോന്നാരാ ഇതേമ ആയ്രീക്കുംമ	This one Onanonnara The same Ayrikumma
101	101	101	Njan mammoty fan Ann pakshe enikk ishtapettu	positive	ന്ജന മമ്മോടി ഫന അന്ന പക്ഷേ ഏനിക്ക ഇഷ്ട്പെട്ടൂ	Njana Mammoth Fana Anna But to me like it
102	102	102	Pirates of carbien aarum kanditilananu mone ninte vicharam	negative	പിരറ്റ്സ് ഓഫ് കാര്ബീഏന ആരുമ കംദിതീലാനാനു മോനേ നീന്റ വിചരമ	Pirates Off Carbinena Someone Kamditilananu honey your Vicharama
103	103	103	Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli	positive	ആ തോദാകാതീല ആഗസ്റ്റ് സിനേമസ ഈനും തിറ്റ്ല കാര്ഡ് വരുംബോല് ഒല്ലാ ബ്ഗ്മ പ്വോലി	That Todakatheela August Cinemasa And Titla Card Will come All Bgma Powley
104	104	104	Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	positive	ഏത്തന മാസ കനിക്കന തുദാംഗീയത ഇന്നമ ഇന്നലേയുംമോനനുംമാല് മക്കാലേ	What is it? month Kanikana Sexuality today Yesterday and Monanummal Macaulay
105	105	105	im a katta lalettan fan....but ithu hit aaakanam..heavy	positive	ഇമ ആ കട്ടാ ലാലെത്തന ഫംബൂത ഇതു ഹിത ആകാനാമ്ഹേവ്യ	Ima That Kata Lalethana Phambuta This Hita Akanamhevya
106	106	106	Katta vishayam oru rekshem illa etta fdfs	positive	കട്ടാ വിശായമ ഓരു രേക്ഷേമ ഇല്ലാ എട്ടാ ഫ്ദ്ഫ്സ	Kata Visayama one Rekshema no eight Fdfsa
107	107	107	Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...	negative	ഡിസ്ലീകേ ചേയുനാവനോകേ ഏതു നാരികല ആനേനാവോ ചാതുഡേ   കിദുകാചീ ട്രേല്ര് വനേതുമ ഡിസ്ലീകേ 11ക കശ്തമ പ്രേശകര	Dislike Cheyunavanoke Which Narika What is it? Today Kidukachee The trailer Vanetuma Dislike 11k Kashtama Persuasive
108	108	108	Oru dubbing padathinte trailer pole.  kidu	positive	ഓരു ദുബ്ബിംഗ് പദതീന്റ ട്രേല്ര് പോല  കിഡു	one dubbing Word of mouth The trailer like Kidu
109	109	109	Myarakam ikka  Hollywood direction and visuals	positive	മ്യാരാകാമ ഇക്കാ  ഹോളിവുഡ് ദിരേക്ഷന് ആന്റ് വിസുആള്സ്	Myarakama Ika Hollywood Direction Ant Visuals
110	110	110	Ini kando... Adiude Ideude Vedi pooram......🧨🧨	positive	ഇനീ കംഡോ അദിഉഡ് ഇദേഉഡേ വേദീ പൂരമ	You comedo Adiud Today The stage Purama
111	111	111	Aa kannukal mathram mathi a character depth mansilkan laletta.....	positive	ആ കന്നുകല മാതരാമ മഥീ ആ ചരാക്ട്ര് ഡിപ്ത മാനസില്കന ലാലെട്ടാ	That Livestock Matarama Matthew That Character Dipta meditation Laletta
112	112	112	Trailer Oru rakshyum illa adi poli jayettan takarkkum	positive	ട്രേല്ര് ഓരു രക്ഷ്യുംമ ഇല്ലാ ആദി പോളി ജയേത്തന താകര്ക്കമ	The trailer one Rakshyumma no Adi Polly Victory Takarkama
