	sentence	sentiment
125	Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu	positive
126	Enta ponno ikka kalakum van trailer	positive
127	Entammo ikka powli powli ...heavy item	positive
128	Ee trailer vachaaanooo luciferinodu muttaan varunnath	negative
129	Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan	positive
130	Inn ni8 full repeat adich kanan ponavar ivide like adicholu	positive
131	Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie	positive
132	Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super	positive
133	Moood poyi mood poyi aa sabune kandappol mood poyi	negative
134	Dislike adicha pullanmarude mugathulla adiyavatte oro likum	negative
135	@02:19 Ee scene theatril polikkum .... Lalettta :):>3	positive
136	njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm	positive
137	Vivek oberoi best villan powli 🤩🤩🤩	positive
138	Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	positive
139	Trailer oru rakshayum illa 3 vattam kandu  Not the point aarudeyum fan alla	positive
140	Ambooo Roman ezunettu  EPIC loading	positive
141	Powlii powlii...last dialogue comedy anenkilu kidlm tyming	positive
142	Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam	positive
143	Trailernu katta wait cheythirikkunna ethra aalundu ivide	positive
144	oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club  adichaaaaaach	positive
145	Police ill minimum  hight elle  Aju oke police	negative
146	Orika kanda veendum veendum kanan thonnum..	positive
147	Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn	negative
148	EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu	positive
149	ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha	positive
150	Rajuvetta ningal mass annu.  Ammoo enna oru feel.  Laletta	positive
151	Uff mwonr kinnam kaachya item	positive
152	madhura rajayum  usharavatte ...from a lalettan fan .	positive
153	Sambavam kollam but	neutral
154	Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam	positive
155	Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......	positive
156	Ee padam kand chirich pandaram adangi	positive
157	Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla	negative
158	Hvy iteam	positive
159	Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*	positive
160	Fight vere level teateril paper kure keerendi varum ichayoooo	positive
161	Trailer vere level Anu makkale🤩🤩Mammookka uyir...   mamangam_november 21	positive
162	Ethilum valiya masSs eni ella  Padam 100 crore loading	positive
163	E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best	neutral
164	Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....	negative
165	Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi	positive
166	Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting	positive
167	69 years old Megastar  Nammude Mammookkaa oreee poli mammookkaa	positive
168	Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu	positive
169	Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu	negative
170	Vineeth sreenivasan presents	positive
171	Ikkaye kanan vendi mathram fdfs urapichavar like	positive
172	Ente ikkkaaaa kola mass YouTube hang aanu makkale	positive
173	Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....	negative
174	1 st day kazinju theatre bakki undayal mathiyayirunnu...lalettan	positive
175	Lucifer pola nalla oru padam avatte	positive
176	Negative aayi onmilla   eattn polikm	positive
177	Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike	positive
178	Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..	positive
179	Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all	negative
180	Ambooo  Ettan kidu acting  Raju Ettan poli making	positive
181	onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩	positive
182	Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing	positive
183	Ejjati item ettan pwolikkum all the best raju etta	positive
184	Ohhh my god... endhokke looks aanu...  onnum parayaanillaa... katta waiting lalettaa...	positive
185	Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣	neutral
186	Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo	negative
187	Trilar kanditt padam. Valiya pratheeksha illaa	neutral
188	Wtng laletta...	neutral
189	Looks like netflix series oru film aayi coloring Mach aavunnilla	negative
190	ooro secondum mmakkayude entrik vendi waiting aayirunnu	positive
191	tovinok pakaram unni mukundan mathiyarunnu....	neutral
192	Soundil  kurachukoodi  bass koodi  undayinnel kidilan	neutral
193	Lalettan faanan but ee trailer kidukki tto	positive
194	Adipoli	positive
195	Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka	positive
196	Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn	positive
197	Prathviraaj	positive
198	Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu	positive
199	Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane	positive
200	Veruthayayi kashu poyi pratheeshyode arum pokaruthe	negative
201	Super mega hit aaayirikkum  mark	positive
202	Aaaa mundum pookal shirtum vere arund ithra look	positive
203	Trailer kidukki..film ith pole nannaya mathiyarnnu.	positive
204	Enta ponno ithu verae level Iove u ikka	positive
205	Korach adhikum award kude  undakendi verum enn toonna suraajettante acting kanumbo	positive
206	Wow..Maranamaas Trailer  Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS	positive
207	Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE	neutral
208	Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...	positive
209	173k views and 173k likes bakki kore mammunni fans 18k	negative
210	Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi	negative
211	Trailer kand  romanjam  Vanna ettan  fans like adikn	positive
212	Thrissur slang paliyenn thonnunnath enikk mathramano?	negative
213	Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer  ethra pravisham kandittum mathiyaunnilla	positive
214	Kidu trailer.  iniyulla Kali ikkayude pilleru nokkikolam triple strongode	positive
215	Enik. Albudham sidiqane aan 1kodi bajat aayalum. 100 kodi bajatayalum sidiq athil. Kanum. Legend.	positive
216	Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo🤣🤣🤣	negative
217	Padam pottum... Charithram akanamenkil marakkar varanam	negative
218	Prithviraj. Nighal oru marana mass sambavam	positive
219	Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam	negative
220	Katta waiting madura raja mammokka kidu mass	positive
221	Ikkakk..valla  mass padavum cheythude....ithorumaathiri senti...cop	negative
222	pora	negative
223	Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa	negative
224	Ente ponnnuuuuuuu Lalettaaa... baaki oke kili vannit parayam	positive
225	Prithiraje than ee pani nirthiko enthon kopile padamado	negative
226	Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..	positive
227	Maduraraja ikka okke trailer poora Pulimuraganil ninne kure cut eduthittiunde  Villan dadygirija same   Athe irutham	neutral
228	Cinema vizag kandu... Polichu ... Super duper hit	positive
229	Onnpodaaa challenge inne undo 1 hour 50 k likes annn  madhara rajj kalikann venda	negative
230	Poster kanditt feel good anenn karuthi kanathe vitu	positive
231	Mammootty fans polum like adichu pokum adaru trailer	positive
232	Havy havy super super kidu kidu 🤘🤘	positive
233	Trailer oru rashilla kili poyi laletta poli anitta	positive
234	Adhikarappeduthunna gadikaarame. Ithu gadikarangal nilakkunna nimisham. Indian cinemayude mugamudhra	positive
235	Raja returnssss makkale....ithu marana mass padamaayirikkum	positive
236	Oru poli polikum 21n ......pooram kanan chry abhinaya ......ang por	positive
237	endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki	positive
238	Lalettante ittimanikk...njanga ikkayude piller vaka best of luck	positive
239	Heavy trailer	positive
240	Ente laletta onnum parayanilla ningal mass anu..  ningale pole ningale ullu	positive
241	Police ne kuttam parayuna	negative
242	kidu  katta waiting    mamamookkaaaa	positive
243	Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa	positive
244	trailer powli aayi.cinemayum angane thanne aavum enn pratheekshikkunnu	positive
245	Enna bodyaa mamooty iniyum oru 10 ankathinulla balyam undu.	positive
246	Njan mathram aano sunny chechiyee kaanan vannath  Sunny chechi uyir	positive
247	Super trailer avasanathe idi super  But BGM pulimurugan copy	neutral
248	Ikkaa...  nigalu mass aanu...  pinnem pinnem irunna kanan thonnuvaa....	positive
249	Neerali	positive
250	Mammookka Nte Look Vere Level	positive
251	Etha sherikum Puli Murugan polla udaa	neutral
252	Dis like idunna mammuny fansukrude pratheka sradhkku.raajaye kaathu padakkathinte mahaniya shekram staginte baakil inddu sookshicha dukkkiknda	negative
253	Muslingalk idayilum Xristhanikalk idayilum Hindukalk idayilum  Ivanu ore oru pereyyllu.....raja	positive
254	ikka dlg delivery oru rakshayumilla ... love uuuhhhhh ikkaaaaa	positive
255	Nice...ikka mass   . All th bst #lalettan fan	positive
256	Dislike അടിച്ചു കുരു pottikkunnavarkk kurupottalaathi kodukkapedum    തള്ള് മൂപ്പൻ	negative
257	I am കട്ട  waiting for ഒടിയൻ	positive
258	Vishukk entha special enn aarelum chodichaal ad madhuraraaja aanenn paranjeer	positive
259	Etu lucifere polichu adukum...... Raja return daa.....	positive
260	Ikka muthanu ...prayam koodunthorum kooduthal monjan......	positive
261	Oru 100cr koody njnga Ing aduthu #EIDMUBARAK	positive
262	Ethu powlikkum maduraraja yum puliyum myrumonnumalla nammukke vendate immatiri items aane	negative
263	100 o 200 crore club il keeriyillelum padam super aayal mathi naangalkk Love you Ikka  Love you Laletta	positive
264	Malayalathinte swandham lalettanu  all kerala dulquar salman fansinte vijayasamshagal	positive
265	Endo aa dilouge delivery endo pole..	neutral
266	Odiyanil poya pratheeksha luciferin thannekkua ....Etta....minnichekkane .	positive
267	Ini aaanu kali trailer kalakki above expectations	positive
268	Marana maasss feeel trailer. Padathinum ad kittiyal polikum	positive
269	Trailer erengunenu mumb 5.2k dislike adichavanmark ente naduviral namaskaram	negative
270	Pulimurugan pole thane und set ....onnu Matti pidikarnnu....	neutral
271	Poojapura mohanan fans moonchi. ഇക്ക പൊളി	negative
272	OVER HYPE KODUTH EE OOLA PADATINU VENDI TALLIYA ELLA OOMBANMARAYA LALAPPAN FANSINTE KARANAKUTTIK NOKI ONN POTTIKAN TONUNNAVAR LIKE EDUKA	negative
273	Enna njan oru kaaryam parayatte..ee padam pottum....odiyan avashtha aavum..mark my words	negative
274	Kandittum kandittum madhiyaavunnillallo deyvame.....Ente laletta ningal star alla oru GALAXY aanu	positive
275	Njan poye kanan mammookkaye al wahdha MALL njan kandu	positive
276	Ee like button oru thavanaye adikkaan pattu allee	positive
277	2.7k unlike adicha pengalepanni makkalkku ente naduviral namaskaram	negative
278	Trailer oru spark aakunnilla.... But still waiting .....	neutral
279	Ethinokke dislike adikkunnavar aan malayala cinimayuday shapam 🤦‍	negative
280	vijaricha Pola allallo kidu analla	positive
281	Mass....  kola masssss Tovino polichadukiiiii Tovino uyirr annuu.....	positive
282	Annyaayam... *ROMANJAM*    ikkaaaaaaaa.........	positive
283	Sunny chechinte song kelkkan waiting	positive
284	John Abraham Palakkal ....Marana Mass Mammookka	positive
285	Adichu makkale... 10M.. Epozhm trailer kanunnavar undo??	positive
286	within 3hrs- 212k views	negative
287	Oru aradhakan avanayi oru katha menanju.... Aradhakan stronganekill avan double strong anu..... #prithvi#lalettan	positive
288	All best mammokka  Team mamangam  Mammokka fans like 🤘	positive
289	Wowww.. Amazing.. Katta waiting.. Ikka and unni.. Super..	positive
290	Atom bomb	negative
291	Mammokka ponnikka happy birthday  love you	positive
292	Lalettan annum innum ennum mollywood raja	positive
293	ingeru karanam abhimanikkam oroo malayalikkum	positive
294	Ithu Tamil movie ah illa Malayalam movie ah? Mostly Tamil dialogue in Malayalam slang :P	neutral
295	Oru rekshayum illa makkale poliiiii action scenes	positive
296	Ith  arabikkadalinte simhamalla Hippo Pottamaas.Kunjali marakkare Baahubali dressokke itt priyadarshan abhamanikkunnu.Cashing vendi charithrathe Valachodikkunnu.	negative
297	Trailer kanditt padam hit aanenn thonnunnu	positive
298	Nta daivamme ....Ponnu laletta  ningal muthannu	positive
299	Vere level love you laletta... 🤩	positive
300	Mollywood stylish aavanmenkil namude ikka tanne varanam      mega star	positive
301	simha thailvaaaaaaaa ie pravasham double strongalla  triple strong  raja solunathdanda seyuve  seyunate mathram soluve mammmoookkaa polikkum	positive
302	Kashtapettu Unlike cheyyunnavar aaruda fans ennathinu samsayamilla  iniyatra unlike adichalum avarkariyam Padam records bedikumennu	negative
303	Saleem Kumarinu old look (Pokkiri Rajayile look) aayirunnu kooduthal chercha	neutral
304	Manju..ival ithilum ondooo naasham..apo ee padavum njjn kaanunnilaa	negative
305	Ith orumathiri thelungu padam pole undallo	neutral
306	Ndh kadippada 13k dislike adichavark.. Nallath kanda nallathenne parayanm.... Atra chorinnindanki valla mullu murikinm ker myrole	positive
307	dislike adicha 9.5 k dislikeolikalkkulla adi kodukkanulla nool	negative
308	Kurch colour koodi poyo ennoru samshayam....	neutral
309	Charithra cinema cheyyan annum innum mammukkaye vellan oruthanum illa. Kidiloski trailer.	positive
310	ithu pwolikkum... sudaani from nigeria movie eavdokyo manasil oodi vannu...!!!	positive
311	Good luck ikka from lalattan fan	neutral
312	Trailer yethra pravashyam kandenn yenikkane ariyilla	positive
313	Enna lookanu ikka...... U r the best	positive
314	Ikka ki jai powli trailer onum parayan ella super masss	positive
315	Oru raksha yil Laleetan polichuuu rajuettan nega vare level annuuuu	positive
316	Happy New Year LalettaCinema kanduketto..Love u	positive
317	SaMbaVaM KiduKki FiGht Parappich Parappich ThElUng kadakkuo🤔	neutral
318	box office nte kaaryathil oru theerumaanamaaay	positive
319	Tovino machanzz oru rakshayumilla waiting for  kalkki	positive
320	Mamangam oru mamangamaayi thanne kondadum... great	positive
321	aaahaaaa negative comment aayi kure pannikal vannallllloooo	negative
322	Ithu polikkum surajin kodukk oru like.	positive
323	Vedikettu...ee vecation Lucifer kondupoyi makkale....Lalettan & Rajuettan ....	positive
324	Chila undertaker toon aduku manakunondu  sradhichu kakanaam	neutral
325	Aha ithu pulimurugan trailer pole undallo ?  Aghane thonnivar adi like !	neutral
326	Trailer nte pokku kandattu valya pratheeksha illa..    nammade george ettans pole	negative
327	Onnum parayanilla.. ikka ee role polichadakkum enn sure	positive
328	Malayala cinemayude range enthanen ariyan erikkunathe ullu MAMANGAM	positive
329	Poli.      L	positive
330	inn poyi padam kandu ..ufffffff oru rakshayum illa poliii	positive
331	Cherudaaytt #thegreatfather bgm vanno ennoru doubt ( first)	neutral
332	Malayala cinemayude .....  Ore oru Rajavu   #Lalettan	positive
333	Story ere kore pidi kitti kazhinju....	neutral
334	Mass trailer... Lalettaaaaa oru rakshayumilla. Pwolichu... Lalettan muthaanu... Prithvi sarikum njettichu. Lalettan+prithvi=Lucifer(blockbuster )... Lalettan ishtam	positive
335	Itrayum nalla Padam ee oola channelil enthinna ittee	negative
336	Avasanam oru superman puchu ude  mamukka powlikum  kude madura rajayum	positive
337	E trailornu unlike adicha ella oolakalkum	negative
338	Eee padam ettu nilayil moonchum	negative
339	pulimurukan trailer ano kanunath 🤔	neutral
340	Trailer kandal ariyam nalla oombiya padam aanunn	negative
341	lov uuuuuuuuuu etttaaaaaaa  romajam vanu chavum	positive
342	Uff uff uff ijjadi ikaaaaaaaaaaaaa ponnikkkaaaaaaaa	positive
343	Ithrayum predisha koduthittu adutha odiyan akathirunna mathiyayirunnu🤪🤪	neutral
344	Kgf poleyulla padam kanda feel.. kidilam	positive
345	enthu myru dailogado ikkayude ketitile athu pole para mo e.	negative
346	Jayasurya MASS Look! And super trailer	positive
347	Kola mass ennu thoniyavar evdea like adiku	positive
348	nivin pauli annel ithe oru onnonnara Padam ayene	neutral
349	Nannayi onnu poliyunna lakshnm unde...Thrill maintain cheyan ayillenkil	negative
350	Supr trailer oru vettame like adikkan pattullu ennoru sankadam athra kidu trlr	positive
351	Ikkha Mess aanu  #mamookkha  #dq	positive
352	Super aakumennu ariyamayirunnu pakshey etu maha maha soooper....	positive
353	Namukkokke telugu action padam ishdamanu ithippo telung padam pole undall the best	neutral
354	Onnum parayaanilla.....kaathirikkunnu Lucifer ney kaanaan!!! Prithvirajj polichuttooo...iniyum porattey cinemakal....Muralii...ingalu muthaanu...	positive
355	Full pulimurugan cast🤩🤩🤩ith polikm muruga nee theerneda	positive
356	Ikka Fans Like here  And Maranamass	positive
357	Njan oru Lalettan Fana Ennalum Enikk Teaser Ishtappettilla	negative
358	Oru rakshem illaa  Lalettan  Prithvi	positive
359	rajaede pilllar strong anell ettante pillerrr strongoo strong.....	positive
360	Mammukka kalakam super trailer rajaiuda team double strong alla trouble strong annu	positive
361	Banal trash. Panavum nashtam samayavum nashtam.	negative
362	Dislike adichavarode enik parayanullathe ikka uryir	negative
363	Ente ponno rajuvetta namichu lalettan is back	positive
364	E  adaaar item adaaar item ennu paranchal entha ennu eppalla manasilayathu	positive
365	poraa pratheeksha illa.. Tovi voice rendering sradhichitilla..... camera	negative
366	Mammokka superb... glamour... but trailor nirashapeduthi...	neutral
367	trailar mas  padam marana mas rajayum pillarum kali thudagi  pakalam	positive
368	Ikka	positive
369	Diriection mosamanu ennoru thonnal.. oru feel varunnilla	negative
370	Ente ponnoo ejjathi  Ithu malayalathinte oreoru mamangam	positive
371	Pottum aenne urappayi .... Inne aethra nilayil pottum aennum koodi nokkiya mathi....	negative
372	Vishakinte page allade vere onnum kityille subcribe cheyyann...38 k ane adil agge illed...minimum 500 k..vews ille subcribr kitenamayirunnu....	negative
373	Duper hit aavatte  Mammookka	positive
374	Dislike adikkunnavan mar kandoooo Lalettan puthiya adar item................	positive
375	Romancham vanna trailer... and ...lalettante..Vaadaa...!!!.... ith pwolikkum.....	positive
376	Ethra kandalum veendum kanan thonunna trailer.	positive
377	Ente ponnu...kiduve...🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰 Ikkkkaaaa       Kidu.bgm🥰🥰🥰	positive
378	Oompitharam alle mr. Producer.	negative
379	Wow  katta maas movie.... ....waiting	positive
380	Oru rakashayum ella  Ikka polichu	positive
381	Lucifer ...Rajuvettan malayalcinemakku nalkan pokunna ponthuval .....Lalettann awaiting ....For your devil lucifer	positive
382	Lokathilie ettavum mikacha nadan	positive
383	2300 dislikes trailer kanathe oohikalloo arokeyayirikumennu	negative
384	Terror bgm theater ilakki marikkunna item aanenn oru soochana iam waiting	positive
385	Poli oru rakshayum illa...  dileep ettan...	positive
386	Ethu 18 alla ethu athukum mele Ulla PADI Anu	positive
387	Next Odiyan akuo en oru doubt 🤔🤔	neutral
388	Annum inum ee manilla natturajavuu lalettan matram ettan ishtam	positive
389	Super movie lalettan oru rakshella	positive
