	Unnamed: 0	sentence	sentiment	transliteration	translation
26	26	FDFS LOCKED  LALETTAN  RAJUETTAN  uff ejathi	positive	ഫ്ദ്ഫ്സ ലോക്കെഡ്  ലാലെത്തന  രാജുത്തന  ഉഫ്ഫ ഏജാഥീ	Fdfsa locked lalethana rajuthana uffa ejathee
27	27	Feel good movie 2019 le best movie aavum ithu urappu	positive	ഫീല ഗുഡ് മോവീഏ 2019 ലേ ബെസ്റ്റ് മോവീഏ ആവഉംമ ഇതു ഉറാപ്പു	Feela Good Movie 2019 is the best movie here.
28	28	1k dislikes Ella dislike pannikalkum endhe naduviral namskaram	negative	1ക ഡിസ്ലീക്സ് ഏല്ലാ ഡിസ്ലീകേ പന്നീകാല്കുമ ഇന്ധേ നാദുവീരസ് നമ്സ്കാരാമ	1 Dislikes All Dislikes Pannikalkuma Indhe Naduveeras Namskarama
29	29	2million... One day poolumaayillaaaa. Iragittt.. Great lalettaa	positive	2മിലിഓന് ഒന്ന് ദയ പൂലുംമാഇല്ലാ ഇരാഗിത്ത ഗ്രേറ്റ് ലാലെട്ടാ	2 million one Daya Poolummailla Iragita Great Laletta
30	30	Eante ponnooo romanjam vannu poeonnum parayanilla	positive	ഈന്ത പോന്നൂ റോമംജമ വനനു പോഇയോന്നമ പരായനിലആ	Inta ponnuu Romamjama vananu poionnama parayanilaa
31	31	Eth oru onnonnara padam aavum enn urappullavar like adi	positive	ഏത ഓരു ഓനനോന്നാരാ പദമ ആവഉംമ ഏന ഉറാപ്പുല്ലാവര ലീകേ ആദി	What a Onanonnara Padama Avaumma Ena Urapullavara Leeke Adi
32	32	Surajettan kunjunni mash ayi abhinayichal powlikku.m	positive	സുരജേത്തന കുന്ജുന്നീ മാശ അയീ അഭിനഇചല പോവ്ലീക്കുംമ	Surjethana kunjunni masha aye abhinaichala povlikumma
33	33	Pakka trailer. Rajuvettan Brilliance. Lalettante all time best character aavum.. luv u laletta	positive	പക്കാ ട്രേല്ര് രാജുവേത്തന ബ്രില്ലിയാന്സ് ലാലെട്ടാന്തേ എല്ല തിമ ബെസ്റ്റ് ചരാക്ട്ര് ആവഉംമ ലവ ഉ ലാലെട്ടാ	Pakka Trailer Rajuvetana Brilliance Laletante Ella Thima Best Character Avaumma Lava U Laletta
34	34	Lucifer kandu. Eny Ethu. Kananam.. Ohhhh.	positive	ലുസീഫര കാണ്ഡു ഏനി ഏതു കനനമ ഓംഹ	Lucifera kandu eni what kananama omha
35	35	Lalettan fans full support und makkaleee......	positive	ലാലെത്തന ഫംസ ഫുഅല സുപ്പോര്ട്ട് ഉണ്ട് മക്കാലീ	Macaulay has Lalethana Phamsa Fuala support
36	36	Adhikam hype venda	negative	അധീകമ ഹൈപ്പ് വേന്ദ്	No more hype
37	37	Ithu kidukkum	positive	ഇതു കിടുക്കുമ	This will be fine
38	38	Padam 1 st day kaanum athu urappu.	positive	പദമ 1 സ്റ്റ് ദയ കാനുംമ അതു ഉറാപ്പു	Padama 1 st daya kanuma atu urapu
39	39	masss effect	positive	മാസ ഇഫക്ട്	The month effect
40	40	Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power	positive	അരുദേയമ കനീര ഓപ്പന വന്നാധല്ലാ നജന  പക്ഷേ കാരയീകുന്നവരുദേ ഠാലാ നജന ആദിച്ചു പ്വോലീക്കുംമ ഫുഅല ഓം ഫുഅല പവര്	Arudeyama kanira opana vannadhalla najana but karayikunnavarude thala najana adichu pwolikumma phuala om phuala power
41	41	Again Again Rajuvettan Theertha Ee vismayam kanaan vanne nokkunavarundoo...	positive	അഗൈന അഗൈന രാജുവേത്തന ഥീര്ഥാ ഈം വിസ്മയമ കനാന വാനേ നോക്കുനാവരുന്ദു	AGAINA AGAINA RAJUETHANA TIRTHA EEM VISMAYAMA CANANA WANE NOKUNAVARUNDU
42	42	Costumes Irshad khan Cherukunnuijj Poli mutheeee	positive	കോസ്റ്റസ് ഈര്ഷദ ഖാന് ചേരുകുന്നുഇജ്ജ പോളി മുഥീ	Ijja Pauly Muthy joins Costus Ershada Khan
43	43	Ithenkilum oru HIT enkilum aayaal mathi.padachone adutha PADAKKAM aavalle	neutral	ഇഥേന്കീലുമ ഓരു ഹിത എന്കീലുമ ആയാല മാംഥീപദ്ചോന് അദുഥാ പദക്കമ ആവാല	Ithenkiluma oru hita enkiluma ayala manthipadchon adutha padakama awala
44	44	aaa last bhakam marana mass #mammookka	positive	ആ ലാസ്റ്റ് ഭാകാമ മാരാനാ മാസ മമൂക്കാ	That last bhakama marana masa mamooka
45	45	Big B 2 pole und	neutral	ബിഗ ബ 2 പോല ഉണ്ട്	Biga B is like 2
46	46	LALETTAAA MUTHEE POLICHU	positive	ലാലെട്ടാ മുഥീ പോളിചു	Laletta Muthee Polichu
47	47	Edhu kondu prethiraj neruthiyal Kollam	positive	ഏധു കോണ്ടു പ്രേഥീരാജ നേരുഥീയല കൊല്ലം	Edhu Kondu Prethiraja Nerutheela Kollam
48	48	Mammotiyude look divasam kudunthorum kodi varikayannallo	positive	മമ്മോതീയുദേ ലൂക ദിവാസമ കുദുന്തരുമ കോദി വാരികയാന്നാലോ	What if mammotiude luka divasama kuduntaruma kodi week
49	49	Natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	negative	നാച്ചുറല് വേണാമ പോലുംമ സൈഡ് ലോട്ടു മാരീനീക്കേ അംഗനുല്ലാവര കോരച മാസ ഓക്കേ നല്ലാതാ	Natural venama hilama side lotu marineke anganullavara koracha masa ok nallata
50	50	malayala sinimakkoru puthiya charithram pirakkatte !	positive	മലയലാ സിനീമക്കോരു പുഥീയാ ചരീഥ്രാമ പീരക്കാട്ട 	Malayalam Cinema Coru Puthiya Charithrama Peerakatta
51	51	Koora padam	negative	കൂരാ പദമ	Koora Padma
52	52	Ennalum ente Idivettu suguna ninne ithilu kandillalo	negative	എന്നലുംമ ആന്റ് ഇദിവേത്തു സുഗുനാ നീന്നേ ഇതീലു കണ്ഡില്ലാലോ	Ennalumma and Idivethu suguna ninne itilu kandillalo
53	53	Oru  mikacha thriling movie aavum	positive	ഓരു  മികാചാ ത്രിലിങ്ങ് മോവീഏ ആവഉംമ	Oru Mikacha is a thrilling movie
54	54	Undakku shesham mammookayude adutha natural movie	positive	ഉന്ദക്കും ശേഷമ മമൂകായുഡേ അദുഥാ നാച്ചുറല് മോവീഏ	After Undukum Mamookayude Adutha Natural Movie
55	55	Jayasurya chyuna a ella characters um pwoliya... Shaji pappen	positive	ജയസുര്യ ച്യുനാ ആ ഏല്ലാ ചരാക്ട്ര് ഉമ പ്വോലിയാ ശാജീ പപ്പേന	Jayasurya Chuna Aa Ella Charaktr Uma Poolia Shaji Papena
56	56	Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum	positive	മമ്മുക്കാ നീന്ഗല ഭാരീക്കനാമ മലയാളം സിനേമാം ഇനീയുല്ലാ കലവമ	Mammukka Neengala Bharikanama Malayalam Cinemam Iniyulla Kalavama
57	57	Ende ammo aa mundu madakki vechulla aa chavitt !!! . laletta.	positive	ഏംഡേ അമ്മോ ആ മുണ്ഡു മദക്കീ വേചുല്ലാ ആ ചാവിത്ത   ലാലെട്ടാ	Emde Ammo aa Mundu madaki vechulla aa Chavitta Laletta
58	58	Trailer I'll tannaayy full story uondu	positive	ട്രേല്ര് ഇല്ല തന്നായയ ഫുഅല സ്റ്റോറി ഉഓംഡു	There is no trailer and the same story is Uomdu
59	59	Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	positive	ഓരു ബിഗ്ബ  ഫീല  ഈവാ  പ്വോലീചൂ	Oru Bigba Fela Eva Pwolleechoo
60	60	Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam	positive	പിന്നേയുംമ പിന്നേയുംമ കാനുംന്നാവര ലീകേ ആദി ലാലത്തേന ഇശ്തമ	Adi Lalatena Ishthama, who will be able to see again and again
61	61	Positive kittiyal pinne parayandallo.... Ettan fan aaya njan thanme kannu thalli poi bookings kandu	positive	പോസിറ്റീവ് കിത്തിയല് പിന്നേ പരായണന്കല്ലോ ഏത്തന ഫന ആയാ ന്ജന താന്മ കന്നും തല്ലീ പോയ് ബുക്കിങ്ങ്സ് കാണ്ഡു	If you get positive, then read again.
62	62	Annum ennum ennum ikka mass 🤩🥰	positive	അന്നമ എന്നമ എന്നമ ഇക്കാ മാസ 	Annama ennama ennama ika masa
63	63	vere level trailer and bgm gopi sunder musical	positive	വേരാ ലെവല് ട്രേല്ര് ആന്റ് ബ്ഗ്മ ഗോപീ സുന്ദര മ്യൂസിക്കല്	Veera Level Trailer and Bhagma Gopi Sundara Musical
64	64	Padam irangiyittu  parayam mass ano class ano ennu?. Odiyan anubhavam kondu paranjatha	neutral	പദമ ഇരംഗിയീത്തു  പരായമ മാസ അനോ ക്ലാസ്സ് അനോ എന്നു ഓദിയാന അനുഭവമ കോണ്ടു പരംജതാ	Padama irangeeethu parayama masa ano class ano say odiyana anubhavama kondu paramjata
65	65	E masathew 28 enna date  nalathekakan pattuvoooo ..... pattillah allew.....wait chaiyanmm  ..	positive	ഏ മാസതേ 28 ഏനനാ ദേതേ  നാലാതേകാകാന പത്തുവഊ  പത്തില്ലാ അല്വ്വൈറ്റ് ചൈയാന്മ്മ  	Ae masate 28 enana dete nalathekakaana tenvaoo patilla alvvaite chaiyanmma
66	66	Jelli kettinte trailer bgm pole ind	positive	ജെല്ലീ കെട്ടീന്റ ട്രേല്ര് ബ്ഗ്മ പോല ഇന്ഡ്	Jellie Kettinta Trailer Bagma Pola Ind
67	67	E traileril ntha chekutan undo	positive	ഏ ട്രേല്രില ന്താ ചേകുതന ഉന്ഡോ	What trail is there?
68	68	kalakki Kalakki. Onnum parayan illa	positive	കലാക്കീ കലാക്കീ ഓനനുംമ പരായണ ഇല്ലാ	There is no recitation of Kalakee Kalakee Onannumma
69	69	Oru saada nalla naatin purathe kada..athre ullu...aenike ishtta pettu.	positive	ഓരു സാദാ നല്ലാ നാടിന പുരാഥ കദാത്രേ ഉല്ലുഏനീകേ ഇശ്ട്താ പെട്ടൂ	Oru Sada Lala Nadina Puratha Kadatre Ullu Enike Ishta Petu
70	70	Vere level of making nd lalettan was awesome	positive	വേരാ ലെവല് ഓഫ് മകിംഗ് ന്ദ ലാലെത്തന വാസ അവെസോമ	Vera level of making nda lalethana wasa awesoma
71	71	Next Week china povan irikkana njan ithu kandeche njan povathullu	positive	നെക്സ്ട് വിക ചീനാ പോവന ഇരീക്കാനാ ന്ജന ഇതു കണ്ഡേശ ന്ജന പോവാഥുല്ലൂ	Next vika china povana ireekana njana itu kandesa njana povathullu
72	72	peter hein nte stunt ella cinema il um ore pattern aanallo	neutral	പേറ്റര് ഹൈം നീം സ്തുംത ഏല്ലാ സിനേമാം ഇല ഉമ ഓരേ പട്ടണ് ആനാല്ലോ	Peter Haim Neem Stumta Ella Sinemam Ila Uma Ore Pattan Anallo
73	73	Ohoo mamooka powlikum ee jati tralier making kiduwee	positive	ഓഹൂ മമൂകാ പോവ്ലികുമ ഈം ജാതി ട്രാലിയറ് മകിംഗ് കിദുവി	Ohoo mamooka povlikuma eam jati tralier making kiduvi
74	74	Onnum parayanilla. Vere leval movie ayirikkum	positive	ഓനനുംമ പരായനിലആ വേരാ ലേവല മോവീഏ അയീരീക്കുംമ	Onanumma Parayanilaa Vera Levala Moviee Ayiriekumma
75	75	Raju ettaaaa ningal Vera level	positive	രാജു ഏത്ടാ നീന്ഗല വേരാ ലെവല്	Raju etda neengala vera level
76	76	Ithoru onnonnara ITEM avumenn urappullavar LIKE ADI ലാലേട്ടൻ	positive	ഇതോരു ഓനനോന്നാരാ ഇതേമ അവുമേന്ന ഉറാപ്പുല്ലാവര ലീകേ ആദി ലലടടൻ	Itoru Onanonnara Itema Avumenna Urapullavara Leeke Adi Laladatan
77	77	Late aayi vannalum latest aayi varuvenne	positive	ലേറ്റ് ആയീ വന്നാലുംമ ലാറ്റ്സ്റ്റ് ആയീ വരുവേന്നേ	Even if you come late, you should come last
78	78	Lokal poyi Madhura raja teaser kanada	negative	ലോകല് പോയി മധുരാ രാജാ ടീസര് കനാഡാ	Madurai Raja Teaser Kannada Goes to the World
79	79	Oru marana mass chitramaavatte laleeta lucifer	positive	ഓരു മാരാനാ മാസ ചിത്രമാവത്ത് ലാലീതാ ലുസീഫര	Oru Marana Masa Chitramavat Lalitha Lucifera
80	80	Kuru potti olikknna 1k poojappura fans🤣🤣🤣	negative	കുരൂ പോത്തി ഓലീക്ക്ന്നാ 1ക പൂജപ്പൂരാ ഫംസ	1 poojapura famsa for Kuru Pothi Oli
81	81	adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	positive	ആദിയുംമ ബഹലവുംമീല്ലാത സ്വാസ്ഥമയീ കന്ദിരീക്കന പത്തുന്നാ ഓരു നല്ലാ സിനേമാം	Aadiyumma is a good movie without any fuss.
82	82	Mohanlal prithvi fans like adik lucifer bamber hit akum	positive	മോഹനലാല പ്രീഥ്വീ ഫംസ ലീകേ ആദിക ലുസീഫര ബാംബേര ഹിത അകുമ	Mohanalala Prithvi Phamsa Leeke Adika Lucifera Bambera Hita Akuma
83	83	Jayasurya mass after long time.podi pooram	positive	ജയസുര്യ മാസ അഫ്റ്റര് ലോംഗ് തിമിപോടി പൂരമ	Jayasurya masa after long thimipodi pooram
84	84	Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu	positive	മമ്മുക്കാ നീന്ഗല്വ മുഥ്ഹാ ഓരു രക്ഷയീലാ കികീദൂ	Mammukka Ningalwa Mutha Oru Rakshayeela Kikidu
85	85	Kure per dislike adich kuru pottikkunnund	negative	കുരേ പര ഡിസ്ലീകേ ആദിച കുരൂ പോട്ടിക്കുംന്നുംദ	Kure para dislike adicha kuru potikkunnda
86	86	Dislike adechath alla punnara makkalum anta veral നമസ്കാരം	negative	ഡിസ്ലീകേ അദേചത അല്ലാ പൂന്നാരാ മക്കാലുംമ അംത വേറല് നമസകര	Dislike adechata alla punnara makalumma amta verel namasakara
87	87	Fight dialoge bgm oru rakshayum illa	positive	ഫൈറ്റ് ദീഅലോജ ബ്ഗ്മ ഓരു രക്ഷയുംമ ഇല്ലാ	There is no escape from the fight
88	88	Ithu rajayude 3 strong Alla ettande Lucifer	neutral	ഇതു രാജയുദേ 3 സ്ട്രോംഗ് അല്ലാ ഏത്തംഡേ ലുസീഫര	This is rajayude 3 strong alla ethamde lucifera
89	89	E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu	positive	ഏ പദതീന്റ മകിംഗ് ഉഷാര ആനേനും തോനുനു  ട്രേല്ര് കന്ദിത്ത പദമ കംദതോകേമ തല്ലിപോലി ആയീരനു  ബുത ട്രേല്ര് പ്വോലിചു	E Padathinta Making Ushara Anenum Thonunu Trailer Kanditha Padama Kamdatokema Thallipoli Ayiranu Buta Trailer Polichu
90	90	Samyuktha vendayirunnu. :(  Aishu pwoli ann	negative	സമ്യുംക്ഥാ വേന്ദയീരുനനു   ഐശും പ്വോലി അന്ന	Samyumktha Vendairunanu Aishum Pvoli Anna
91	91	Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	negative	ട്രേല്ര് ഇരാംഗീഇല്ലാ അധീനും മുന്പേ പേദീച ഥഊരീ ഡിസ്ലീകേ ആദികുന്നാ മമ്മുനിയഓലികല്	Trailer Irangi Illa Adhinum Munpe Pedicha Thaoori Disleeke Adikunna Mammuniaolikal
92	92	Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	negative	ഡിസ്ലീകേ ആദികുന്നാ മംദനമാര അരീയുന്നീല്ലാ ഇതു ഓപേന അക്കീയല വിഏവ്സ നീം എന്നമ കൂഡുംമ എന്നു	Dislike adikunna madanamara areiunnilla this opena akeela vyavsa neem ennamma kudumma
93	93	JAI LUCIFER JAI LALETTAN JAI PRITHWI	positive	ജയ ലുസീഫര ജയ ലാലെത്തന ജയ പ്രീഥ്വീ	Jaya Lucifera Jaya Lalethana Jaya Prithvi
94	94	Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck	positive	നല്ലാ പഞ്ച് ഉല്ലാ ട്രേല്ര് മമൂകാ ജയ അനുസ്രീ ശാമ്നാ എല്ലാര്കുമ ബ്സ്റ്റ് ഓഫ് ലുക്	Nalla Punch Ulla Trailer Mamuka Jaya Anusree Shamna Ellarkuma Bust Of Look
95	95	Bro support koduthilenkilum dislike adikkathirunoode .	negative	ബ്രോ സുപ്പോര്ട്ട് കോദുതീലേന്കീലുമ ഡിസ്ലീകേ ആദിക്കതീരുനൂഡേ 	Bro support Kodutheelenkiluma Dislikee Adikatheerunude
96	96	Suraj ettan fans fans like ivide	positive	സൂരജ് ഏത്തന ഫംസ ഫംസ ലീകേ ഇവിഡ്	Suraj Ettana Phamsa Phamsa Leeke Evid
97	97	Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa	positive	ഏഇഡ് ഉഷാരക്ബനാമ ഇഥീരീ ലേറ്റ് അയാലുമ നമ്മല പോലിക്കുംമ മമ്മുക്കാ സാ	Aid usharakbanama ithiree late ayaluma namala polikumma mammuka sa
98	98	E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰	positive	ഏ പദമ ഹിത അകുമ ഏന ഉരാപുല്ലാവര ലീകേ ആദികന ഉല്ലാ സ്ഥാലമ	E padama hita akuma ena urapullavara leke adikana ulla sthalama
99	99	ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	negative	ഈം ഉന്ലീകേ ആദിചാവാര്ക ഓരു ആസുകാമ ഉണ്ഡു ആന്തുവാനന അരിയാമോ അസൂയാ	Eam unleike adichavarka oru asukama undu antuwanana ariamo ajawa
100	100	Ith oru onnonnara item aayrikkum	positive	ഇത ഓരു ഓനനോന്നാരാ ഇതേമ ആയ്രീക്കുംമ	This is an onanonnara ditto ayrikumma
101	101	Njan mammoty fan Ann pakshe enikk ishtapettu	positive	ന്ജന മമ്മോടി ഫന അന്ന പക്ഷേ ഏനിക്ക ഇഷ്ട്പെട്ടൂ	Njana mammoti fana anna but I liked it
102	102	Pirates of carbien aarum kanditilananu mone ninte vicharam	negative	പിരറ്റ്സ് ഓഫ് കാര്ബീഏന ആരുമ കംദിതീലാനാനു മോനേ നീന്റ വിചരമ	Pirates of Carbinea Aruma Kamditilananu mone neenta vicharama
103	103	Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli	positive	ആ തോദാകാതീല ആഗസ്റ്റ് സിനേമസ ഈനും തിറ്റ്ല കാര്ഡ് വരുംബോല് ഒല്ലാ ബ്ഗ്മ പ്വോലി	Aa Todakathila August Cinemasa Eenum Thitla Card Warumbol Olla Bgma Pooli
104	104	Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	positive	ഏത്തന മാസ കനിക്കന തുദാംഗീയത ഇന്നമ ഇന്നലേയുംമോനനുംമാല് മക്കാലേ	Ettana masa kanikana tudangeeata innama innale and monanum mal makale
105	105	im a katta lalettan fan....but ithu hit aaakanam..heavy	positive	ഇമ ആ കട്ടാ ലാലെത്തന ഫംബൂത ഇതു ഹിത ആകാനാമ്ഹേവ്യ	Ima aa kata lalethana fambuta itu hita akanamhevya
106	106	Katta vishayam oru rekshem illa etta fdfs	positive	കട്ടാ വിശായമ ഓരു രേക്ഷേമ ഇല്ലാ എട്ടാ ഫ്ദ്ഫ്സ	Katta Visayama Oru Rekshema Illa Etta Fdfsa
107	107	Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...	negative	ഡിസ്ലീകേ ചേയുനാവനോകേ ഏതു നാരികല ആനേനാവോ ചാതുഡേ   കിദുകാചീ ട്രേല്ര് വനേതുമ ഡിസ്ലീകേ 11ക കശ്തമ പ്രേശകര	Dislike cheunavanoke ai narikala anenao chatude kidukachi trailer vanetuma dislike 11ka kashtama presakara
108	108	Oru dubbing padathinte trailer pole.  kidu	positive	ഓരു ദുബ്ബിംഗ് പദതീന്റ ട്രേല്ര് പോല  കിഡു	It&#39;s like a trailer for a dubbing movie
109	109	Myarakam ikka  Hollywood direction and visuals	positive	മ്യാരാകാമ ഇക്കാ  ഹോളിവുഡ് ദിരേക്ഷന് ആന്റ് വിസുആള്സ്	Myarakama Ika Hollywood Direction and Visuals
110	110	Ini kando... Adiude Ideude Vedi pooram......🧨🧨	positive	ഇനീ കംഡോ അദിഉഡ് ഇദേഉഡേ വേദീ പൂരമ	Inee kamdo adiud ideude vedi purama
111	111	Aa kannukal mathram mathi a character depth mansilkan laletta.....	positive	ആ കന്നുകല മാതരാമ മഥീ ആ ചരാക്ട്ര് ഡിപ്ത മാനസില്കന ലാലെട്ടാ	Aa Kannukala Matarama Mathi Aa Charaktr Dipta Manasilkana Laletta
112	112	Trailer Oru rakshyum illa adi poli jayettan takarkkum	positive	ട്രേല്ര് ഓരു രക്ഷ്യുംമ ഇല്ലാ ആദി പോളി ജയേത്തന താകര്ക്കമ	Trailer Oru Rakshyumma Illa Adi Poli Jayethana Thakarkama
113	113	Ee Padam Kolamavukayaanengil it will be because of Peter hein	negative	ഈം പദമ കോലാമാവുകയാനേഗില ഇത് വില ബേ ബെകൌസ് ഓഫ് പേറ്റര് ഹൈം	Eam padama kolamavukayanegila it vila bay becaus of peterheim
114	114	Movide peru kandu dislike adikaan vannatha	positive	മോവൈഡ് പേരു കാണ്ഡു ഡിസ്ലീകേ ആദികാന വന്നാഥ	Mowide peru kandu disleeke adikaana vannatha
115	115	Avalude name veykkunille avar lead cheyyunna film alle..	negative	അവലുഡേ നാമം വേക്കുംനില്ല അവര ലെഡ് ചേയ്യുംന്നാ ഫിലമ അല്	Avalude naam vekekuminilla arava led cheyumnnna filma al
