sentence	sentiment	lang_of_words
@ThanosDupeJagan @rj_4_all nee amma ne pampava endhi nadhi gaadidha madda anne chepthunav leka nenu nee ammane dengutunte tongi chusava pilla hook ga	negative	['univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te']
Cinema peru vinatame first tym	neutral	['en', 'te', 'te', 'en', 'en']
@PakkaTollywood Sakshi entala dhigajaarindho idi chuste telustundi	negative	['univ', 'te', 'te', 'te', 'te', 'te', 'te']
@StarMaa Roju rojuki story chetha gaa narrate chesthunaru 🤢 🤮	negative	['univ', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'univ', 'univ']
Kiss pedithe movie hit kadu ani devarakonda thelusukovali , movie lo content vundali audiences fools kadu elanti movies nu hit chesenduku	negative	['en', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'univ', 'en', 'te', 'en', 'te', 'en', 'en', 'te', 'te', 'en', 'te', 'ne', 'te']
Attarintiki daredi story 🔥 by thalapathi	neutral	['te', 'te', 'en', 'univ', 'en', 'univ']
Neelanti valla valle hit avvalsina movies flop avthunnay thuu . Endaroo vandala mandi kastanni 4 min review tho spoil chesthunnav . Movie chaala bagund . 🙏 🙏 Do n't believe his review	negative	['te', 'te', 'te', 'en', 'te', 'en', 'en', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'univ', 'en', 'en', 'te', 'en', 'te', 'univ', 'en', 'te', 'en', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'en', 'en']
Anna . gaali sampath movie em papam chesindi . Ventane review pettu . Waiting ikkada	neutral	['te', 'univ', 'te', 'ne', 'en', 'te', 'te', 'te', 'univ', 'te', 'en', 'te', 'univ', 'en', 'te']
Brother , please try to add subtitles .	neutral	['ne', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ']
@ORPHICJOON Nikki nuvu rakunda manchii pani chesav e uthara prajalaki guu manta estondi	positive	['univ', 'te', 'te', 'te', 'te', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
@navteja1 @harish2you Last gaa neeku ... appudappudu navvuthundu manushulni manushullaga chudu frustration emanna unte life lo twitter lo ochi kakkaku anndhariki equal opinions undavu neeku okadu ishtamm asdante naaku nachadu aipoindi disco lu pettu naalugu thitlu thitti edo thopu la feel avvaku	positive	['univ', 'univ', 'en', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te']
@AmbatiRambabu Appudu meru ... Guddi gadidhaa pallu thomuthara ..... Ambothu garu	negative	['univ', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'univ', 'te', 'te']
@GouMacha @ncbn @naralokesh Arey nee putuka kana nadhi Manchi putake ra . Antha idhi gaa unapudu ninnu evadu reply ivamanadu ra . Nee pani nuv chusko	positive	['univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'univ', 'te', 'te', 'te', 'te']
Nobody can give such reviews except thyview Thank you team thyview expecting big works from your team ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️ ❤ ️	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ']
Chetha na dash ga location based video tesey ra	negative	['te', 'te', 'en', 'te', 'en', 'en', 'en', 'te', 'te']
Bro nuv `` i liked it , i really really liked it `` Anagaane goose bumps vachinai . Enni rojulaindo maa surya ki manchii review raaniki	neutral	['en', 'te', 'univ', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'te', 'en', 'en', 'te', 'univ', 'te', 'te', 'te', 'ne', 'ne', 'te', 'en', 'te']
Siggu lekundaa support chesadu Baboru ki 💦 💦 💦 💦	negative	['te', 'te', 'en', 'te', 'te', 'ne', 'univ', 'univ', 'univ', 'univ']
Every one is first until they refresh 😛 😛	positive	['en', 'en', 'en', 'en', 'te', 'te', 'univ', 'univ', 'univ']
Waiting for u r video bro	positive	['en', 'en', 'en', 'en', 'en', 'en']
Hello guys welcome to thyview ❤ ️	neutral	['en', 'en', 'en', 'en', 'en', 'univ', 'univ']
Suarez	positive	['te', 'univ', 'te', 'ne', 'te', 'te', 'te', 'te', 'en', 'univ', 'te', 'en', 'univ']
Hlo baya telugu hacking intersting movies patava	neutral	['te', 'te', 'te', 'en', 'en', 'en', 'te']
@lohithasurya143 @AlluArjunDhf3 ok ra nuvvu VD fan ga reply icchav kada nenu kuda Nani fan ga counter esa AA ni enduk lagav ra mari labour na kodaka	positive	['univ', 'univ', 'en', 'te', 'te', 'univ', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te']
Papam thadipesukuntunadu movie ki veedu ela puttadura malli puli anta gaadida m * da kadhu ..	negative	['te', 'te', 'en', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'univ', 'te', 'te', 'univ']
@ItzNani_ Hint ichaav ga rechipotar le	positive	['univ', 'en', 'te', 'te', 'te', 'ne']
Robert review also needed plz	neutral	['en', 'en', 'en', 'en', 'en']
Perfect line `` konni yrs tarvatha Suriya cinema choosaka Oka anandam `` apt one 👍 👍	positive	['en', 'en', 'univ', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'te', 'univ', 'en', 'en', 'univ', 'univ']
Tegula telugu lo adocchaga sakam telugu sakam english bokkalo rewiew	negative	['te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en']
@_Man_You Nijam GA Chala bagndi anna	positive	['univ', 'te', 'te', 'te', 'te', 'te']
@SVishnuReddy @Actor_Siddharth Gadidha mogga ... davud valla jarigina nashtam kante desaniki me vallane ekkuva nashtam jarigindhi vishnu puvva ... 14 lakshalu kotlu appu corona tho janalu champadam ide gaa miru chestundi lucha yedavlu ra miru	negative	['univ', 'univ', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
Bro why its non spoiler ?	positive	['en', 'en', 'en', 'en', 'en', 'univ']
Nijamey sir naku alaney anipinchindhi	positive	['te', 'en', 'te', 'te', 'te']
Nayana Telugu ekkuva vadu sami	positive	['ne', 'te', 'te', 'te', 'te']
@ReddyShilpaa Adhi oka politician ga mla gaa nani gari responsibility to enjoy the benefits of power mari hero gaa pawan kalyan okka manchi pani kuda cheyavalsina avsram ledhu shilpa garu still from years he is doing many konni bayatiki vachayi inka enno bayataki vasthayi	positive	['univ', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'en', 'te', 'ne', 'ne', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
Bro Konchem slow ga cheopandi	neutral	['en', 'te', 'en', 'te', 'te']
@ahavideoIN @Samanthaprabhu2 Rey babu me aha aap ki oka Dandam ra babu ah video kuda chudalekapothunam dhani vala phone hang avuthundi intha chetha worst aap ni chudaledhu intha daridram ga soft wear design chesaru antira babu Screen rotation avadu forward back ward cheyadaniki avadu	negative	['univ', 'univ', 'te', 'ne', 'en', 'en', 'te', 'ne', 'te', 'te', 'te', 'ne', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'te', 'te', 'ne', 'en', 'en', 'te', 'en', 'en', 'en', 'te', 'te']
@BJP4Telangana @bandisanjay_bjp Ilanti time lo ilantivi cheyadaniki siggu leda ibta badyata leknda ela untunnaru	negative	['univ', 'univ', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
@untrustely bhayya vadoka pedha loofer gaddu , Intlo valani tidathadu minimum common sense lekunda , do tag that chaep fellow	negative	['univ', 'te', 'te', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'en', 'en', 'en', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ']
@urs_Satya_ Nak teleekunda 90 Ela Nen deenni Purthiga khandistunna	negative	['univ', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te']
Em posters ayte chimparo ade posters meeda superhit ani vestaru 🔥 🔥 Ikkade cinema ento ardamayyindi 💥	negative	['te', 'en', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'univ', 'univ', 'te', 'en', 'te', 'te', 'univ']
Mending gue move di akun sebelah gaa ya Taoi kalo nanti gatel buat main di sana gimana	positive	['en', 'en', 'en', 'te', 'ne', 'te', 'te', 'en', 'te', 'te', 'te', 'en', 'en', 'en', 'te', 'te', 'te']
oka HM show lo chillar ga behave chesadani meeru aa HM kante chillar ga behave chesthunnaru by abusing him n with worst language on SM Self check #biggbosstelugu4 #Sohel	negative	['te', 'en', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'en', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'univ', 'univ']
@RGVzoomin Trailer chethaga vundhi so movie kuda govindaaa	negative	['univ', 'en', 'te', 'te', 'en', 'en', 'te', 'te']
@prashanth_arya5 haa nuvve warning ichav anta gaa .. AA fanz ki PB fanz ki	positive	['univ', 'ne', 'te', 'en', 'te', 'te', 'te', 'univ', 'te', 'en', 'ne', 'univ', 'en', 'ne']
Sorry bro u got it completely wrong 😂 😂	negative	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'univ']
Mamu eppudu flop aney ammam ra .. merey ga egiraru monna hit ani puka .. velli day1 chillar esukondi pondi	negative	['te', 'te', 'en', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'ne', 'te', 'te', 'univ', 'te', 'ne', 'en', 'te', 'te']
Nani utterly failed , it 's quite opposite of natural star nani status , in this movie , he is as unnatural as possible . very very unnatural . so many slow motions , but not even connected with the character , We were connected to shakuntala devi movie , but this V movie did n't establish that magic of natural star nani . even though nani can go to another character which might be unnatural but , this acting is very disappointing . Actually failed the decision . Nani might not be failed . but this film is a fail . Period . As a fan of Dil Raju garu 's movies he took a good decision to sell it to amazon primse . )	negative	['ne', 'en', 'en', 'univ', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'te', 'en', 'univ', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'te', 'te', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'te', 'univ', 'en', 'en', 'ne', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'univ', 'te', 'en', 'en', 'en', 'en', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en', 'univ', 'en', 'en', 'en', 'en', 'te', 'te', 'te', 'univ', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'ne', 'en', 'univ', 'univ']
Entha fast ga review chepputavu bro 🤝 🙏 🙏	neutral	['te', 'en', 'te', 'en', 'te', 'en', 'univ', 'univ', 'univ']
@have_u_met_ted Navi ravatle ga nuve permission ichavv	positive	['univ', 'te', 'te', 'te', 'te', 'en', 'te']
@AmBeingAnonymus chaala ante chaalaa bagund 😍 suits u well	positive	['univ', 'te', 'te', 'te', 'en', 'univ', 'en', 'en', 'en']
Theatre lo and church lo scene made me cry	positive	['en', 'te', 'en', 'en', 'te', 'en', 'te', 'en', 'en']
@rchitect_kiran Isari Sunil vasthadu anukunna finals ki Oka performance chethaga chesina yash gadnee finals ki pamparu	negative	['univ', 'ne', 'ne', 'te', 'te', 'en', 'ne', 'te', 'en', 'te', 'te', 'en', 'te', 'en', 'ne', 'te']
Audience ni 2 hrs navincharu ante ade big achievement andulo story vunte yenta lekuntey yenta	positive	['en', 'te', 'univ', 'en', 'te', 'te', 'te', 'en', 'en', 'te', 'en', 'te', 'te', 'te', 'te']
@MaheshAdmire69 Manvalala laga valu chillar ga cheyar fans kada 😴	negative	['univ', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'te', 'univ']
Nanii lv u Nani miru eam chesina bhaguntadi mikosam mv enny sarlu ina chudochu 😍 😍	positive	['ne', 'en', 'en', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'univ', 'univ']
Pawan Kalyan allu Arjun vellakaithe cinema hit ani cheptavu Mahesh Babu ntr lanti heroes kaithe flop average ani chepputhunavu	negative	['ne', 'ne', 'ne', 'ne', 'te', 'en', 'en', 'te', 'te', 'ne', 'ne', 'ne', 'te', 'en', 'en', 'en', 'en', 'te', 'te']
Correct review movie was not good	negative	['en', 'en', 'en', 'en', 'en', 'en']
Bongulo cinema ra erripuka . Negatives ey leva ra kojja . Rotta comedy heroine overaction . Nuvvu nee biased reviews	negative	['te', 'en', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'te', 'univ', 'te', 'en', 'en', 'en', 'univ', 'te', 'te', 'en', 'en']
@Sachin_Ro45 Chillar unde restaurant infra , masth redesifn chesindu gaa . Bagane sampadinchindu	negative	['univ', 'te', 'te', 'en', 'en', 'univ', 'te', 'en', 'te', 'te', 'univ', 'te', 'te']
Bro meeru okkasari ee nagaraniki em ayindi movie experience chepandi bro a movie eni sarlu chusina boor kotadu	positive	['en', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'te']
@Wizu_ragazzac Long tym no see aah .. ninna ne gaa replies icchhav tweet ki	positive	['univ', 'en', 'en', 'en', 'en', 'te', 'univ', 'te', 'te', 'te', 'en', 'te', 'en', 'ne']
Nee paid g * * * denga @iamnagarjuna 🤬 Money isthe edhaina chestav ra saami nuvvu eppudaina sare episode chusi chesav Entra chillar minded fellow 💦 Siggu padu ra ala okarni bad cheyadaniki kankanam kattukunnav gaa Em bathukulu ra meevi @StarMaa #BiggBossTelugu4	negative	['te', 'en', 'en', 'univ', 'univ', 'univ', 'en', 'univ', 'univ', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'te', 'te', 'en', 'en', 'en', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ']
Bahaiya reveal your face plz	neutral	['ne', 'en', 'en', 'en', 'en']
Sai anna review ante super	positive	['ne', 'te', 'en', 'te', 'en']
#A1Express cinema chala bagundhi acting kutha super vundi @sundeepkishan anna di prathi scene vera level lo vunnay @Itslavanya @priyadarshi_i #A1ExpressOnMarch5th #Blockbluster	positive	['univ', 'en', 'te', 'te', 'en', 'te', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'ne', 'univ', 'univ', 'univ', 'univ']
Nice bro iam waiting for ur review	positive	['en', 'en', 'te', 'en', 'en', 'ne', 'en']
Godzilla vs Kong & KGF 2 ARE HAVING HIGH CRAZE & GRACE , REMAINING ARE JUST SATISFYING MOVIES	positive	['ne', 'en', 'en', 'univ', 'univ', 'univ', 'univ', 'en', 'univ', 'univ', 'univ', 'univ', 'univ', 'en', 'univ', 'en', 'en', 'univ']
@Chandu_Royal9 Siggu undali Blue tick veskoni celebrities anipinchukoni lawada lo Tweets veyyadaniki Maku team ki unnaru celebrity fans but entha chillar ga aythe behave cheyyaru	negative	['univ', 'te', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'en', 'te', 'te', 'en', 'ne', 'te', 'en', 'en', 'en', 'te', 'en', 'te', 'te', 'en', 'te']
@Nithintweets2 Ah shorts lo unna young man chaala manchod ani talku ... Down to earth anta ga 😎	positive	['univ', 'te', 'en', 'te', 'te', 'ne', 'ne', 'ne', 'ne', 'te', 'en', 'univ', 'en', 'en', 'en', 'te', 'te', 'univ']
Bro Andhra lo theatres opening soon but no movies are there to release	neutral	['ne', 'ne', 'te', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en']
@kotasrinumca @KChiruTweets Arey mee anta chetta vedavalu vunnaru kabatti ela vundi ra India Seenu ga nuvu mysuko rA	negative	['univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'ne', 'te', 'te', 'te', 'te', 'te']
Worst movie . jabardast . better . dabbulu . bokka . 👎 👎 but naveen polisetty . kosam chudali	negative	['en', 'en', 'univ', 'en', 'univ', 'en', 'univ', 'te', 'univ', 'te', 'univ', 'univ', 'univ', 'en', 'te', 'en', 'univ', 'te', 'te']
@CultFanIkkada Neeku bocchu telusa .. jalasa pure chiru crazy valla aa year top grosser lo undii ... happude political entry avvuthunndu ani entho mandhi leaders cinema konnaru ... chala mandhi ki tickets icharu .. memu happatike .. nekkanna pedha fansim chesam ..	negative	['univ', 'te', 'te', 'te', 'univ', 'te', 'en', 'te', 'en', 'te', 'te', 'en', 'en', 'en', 'te', 'te', 'univ', 'te', 'en', 'en', 'te', 'te', 'te', 'te', 'en', 'en', 'te', 'univ', 'te', 'te', 'ne', 'en', 'te', 'univ', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'univ']
@JohnWick_442 @navin301 @Remoboy_ Galeez gadu Musugu fellow SLN roju tweets ki vere hero release day tweets compare Chestey , veedentha musugu gado telusthadi	negative	['univ', 'univ', 'univ', 'ne', 'te', 'te', 'en', 'univ', 'te', 'en', 'ne', 'te', 'en', 'en', 'en', 'en', 'en', 'te', 'univ', 'te', 'te', 'te', 'te']
Most underrated actor satya dev . ❣ ️ 🔥	positive	['en', 'en', 'en', 'ne', 'ne', 'univ', 'univ', 'univ', 'univ']
@Controversyy3 @unexpected5678 @narendramodi @ysjagan @KTRTRS Present government special status adgalevu nuv kuda matladthunaav thu koncham kuda siggulekunda mari mamalni antav 🤣 🤣 🤣 🤮 🤮 🤮 🤮	negative	['univ', 'univ', 'univ', 'univ', 'univ', 'en', 'en', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ']
@babayi_abbayi @Willsmi71394928 @kalyan_fanatics @Thalaivadaa @Rammi766 @PK_THALA_ADHERE @DQ_Insane @RAJU_11111 @RusthumHere vakeelsaab mabu gadu chesunte ilanti genre ki covid peaks lo releease ayyundi baraju fake chesina kuda 60cr ravu vadi bhatuk ki	negative	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'ne', 'ne', 'te', 'te', 'te', 'en', 'ne', 'ne', 'en', 'te', 'en', 'te', 'te', 'en', 'te', 'te', 'univ', 'te', 'te', 'te', 'ne']
@VKrishna_V Bjp Janasena ki ante , karyakarta lu leru , ok ... Mari ... Tdp agent lu gaadida lu kastunnara ... Ea okka agent aapina , vote veyyaleru	negative	['univ', 'univ', 'te', 'ne', 'te', 'univ', 'en', 'te', 'te', 'univ', 'en', 'univ', 'te', 'univ', 'univ', 'en', 'te', 'te', 'te', 'te', 'univ', 'en', 'te', 'en', 'te', 'univ', 'en', 'te']
#ThankYouBrother chaala Bagundi @anusuyakhasba garu baga chesaru full emotional and tears 😰 ☺ ️ #Respect @anusuyakhasba congratulations ☺ ️	positive	['univ', 'ne', 'te', 'univ', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'univ', 'univ', 'univ', 'univ', 'univ', 'en', 'univ', 'univ']
We never said any neg words regarding ram	positive	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'te']
I came only to hear ur own voice	positive	['en', 'en', 'en', 'en', 'en', 'ne', 'en', 'en']
@Vishwakuruba52 @chinnapillodu 10 billion lo india lo invest chestha anaru . Ap lo ani chepala . CBN Google fiber tho collobrate ayi cheap ga internet tesukoste eyes neethimeeda petukunaru jagan fans , epudu edho tweet ke Google invest vachesayi antu , edho jagan gadhuu eli investments tesukochinatu biscuits .	negative	['univ', 'univ', 'univ', 'en', 'te', 'ne', 'te', 'en', 'te', 'te', 'univ', 'en', 'te', 'te', 'te', 'univ', 'univ', 'en', 'en', 'te', 'en', 'te', 'en', 'te', 'en', 'en', 'en', 'te', 'te', 'ne', 'en', 'univ', 'te', 'te', 'en', 'te', 'en', 'en', 'te', 'te', 'univ', 'te', 'ne', 'te', 'te', 'en', 'te', 'en', 'univ']
Okka morph veyyadu abuse words use cheyyadu @RusthumHere Aa daya gadhuu Mabbu lanja Morphes , abuse words , family Trolls kuda estharu ela Compare chesthav ra lafoot	negative	['te', 'en', 'te', 'en', 'en', 'en', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'en', 'univ', 'en', 'en', 'univ', 'en', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te']
I am waiting for this movie from april and waiting for this video from 3 hrs	neutral	['en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'en', 'univ', 'en']
@attlakada Teenage huks antha maxxx .. 2015 nunche ga vallu vere level ki vellaru so aa youth antha vallaki fan wars chestunaru .. PB fans aithe chaalaa worst le FB lo chillar Morphs estaru families pai 🙏🏻 😑	negative	['univ', 'en', 'en', 'te', 'en', 'univ', 'univ', 'te', 'te', 'te', 'te', 'en', 'ne', 'te', 'en', 'te', 'en', 'te', 'te', 'en', 'en', 'te', 'univ', 'univ', 'en', 'te', 'te', 'en', 'ne', 'ne', 'te', 'en', 'en', 'te', 'en', 'te', 'univ', 'univ']
babai ne su ! cide cheskune position ki thechadu .. inka sigguu saram lekundaa vaditho BO stamina gurunchi Disco pettakandra	negative	['ne', 'te', 'te', 'univ', 'en', 'en', 'en', 'ne', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'en', 'te']
Review chaputhunnavu kada ekkada adhi bagaladhu akkada adhi bagaladhu antha unthay nuvu ne team ok perfect movie teyandhi ok movie teyali anthy antha kastham o telusutundhi ok	negative	['en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'en', 'en', 'en', 'en', 'te', 'en', 'en', 'te', 'ne', 'te', 'te', 'te', 'te', 'en']
@chikati_rajyam @oranges___istam Elagu 500 ichaav gaa em cheyaleda ani @FoxBleed_ dm chesadu	positive	['univ', 'univ', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'te']
@pottipuka @pranayk84990 @K_Rishi_kumar @DQ_Insane @RusthumHere mabu gadi bathuke fake bathuku bot na modda gadu baraju tho survive avuthunadu ipudu vadi koduku vachi lepali mabbu ki	negative	['univ', 'univ', 'univ', 'univ', 'univ', 'ne', 'te', 'te', 'en', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'en', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'ne']
@Krishnasagar789 @neekenduku9999 @hari_giduthuri @Geetha_Happy @SUBRAMANI456 @Maneesh2323 Ne amma kuthalo Gadidha modda pedthe arusthundi 😂 😂 Entra na lanjikiputtina lanjakodaka 😂 😂 😂 😂 😂 ..	negative	['univ', 'univ', 'univ', 'univ', 'univ', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'te', 'te', 'te', 'te', 'univ', 'univ', 'univ', 'univ', 'univ', 'univ']
Devuda… naa madichedi poyenu poorthiga Aina…… . Bagundi haayiga Rathirantha gunuku ledu edoti chheyyaliro #AdvanveHBDMaheshBabu #sarkaruVaariPaata @urstrulymahesh Follow me @urstruly__madhu @Dhfmpooja @urstruly_Hitman	positive	['ne', 'te', 'te', 'te', 'te', 'te', 'univ', 'te', 'te', 'te', 'te', 'te', 'te', 'te', 'univ', 'univ', 'univ', 'en', 'en', 'univ', 'univ', 'univ']
